query_street_name,search_results_sampled,query_error,sample_properties,properties_with_case_history,properties_with_rent_registration,detail_errors
ALVARADO,25,,19,19,12,0
BROADWAY,25,,19,19,9,0
FIGUEROA,25,,21,21,9,0
MAIN,22,,16,16,11,0
OLYMPIC,25,,20,20,14,0
SPRING,25,,19,19,3,0
VERMONT,22,,14,14,11,0
WESTERN,25,,22,22,15,0
