inspection_year,matched_pairs,mean_treated,mean_control,mean_gap,median_gap,gap_ratio
2019,17289,1.149517033952224,0.7355543987506507,0.4139626352015733,0.0,1.562789966186994
2020,17289,0.96691537972121,0.5124645728497889,0.45445080687142114,0.0,1.8867945823927765
2021,17289,1.7031638614147724,1.2779223783908844,0.42524148302388803,0.0,1.3327600253462477
2022,17289,1.9194863786222454,1.6574122274278442,0.2620741511944011,0.0,1.1581224917117432
2023,17289,2.328763953959165,1.9949678986638903,0.33379605529527445,0.0,1.1673190107564293
2024,17289,3.1900630458673143,2.674995661981607,0.5150673838857077,0.0,1.1925488669780313
2025,17289,4.6785239169414075,4.264503441494592,0.4140204754468159,0.0,1.0970852717383932
