borough,communityboard,inspection_year,mean_treated,n_treated,total_treated,mean_control,n_control,total_control,diff,ratio
BRONX,3,2019,1.18503937007874,508.0,602.0,1.232258064516129,620.0,764.0,-0.04721869443738891,0.9616811642000247
BRONX,3,2020,1.061023622047244,508.0,539.0,0.8741935483870967,620.0,542.0,0.18683007366014726,1.2137170584304267
BRONX,3,2021,2.6377952755905514,508.0,1340.0,1.9451612903225806,620.0,1206.0,0.6926339852679708,1.3560804899387577
BRONX,3,2022,2.87992125984252,508.0,1463.0,2.509677419354839,620.0,1556.0,0.3702438404876811,1.147526466004089
BRONX,3,2023,4.433070866141732,508.0,2252.0,2.5935483870967744,620.0,1608.0,1.839522479044958,1.70926861754221
BRONX,3,2024,8.277559055118111,508.0,4205.0,4.346774193548387,620.0,2695.0,3.930784861569724,1.9042993002498068
BRONX,3,2025,15.251968503937007,508.0,7748.0,5.696774193548387,620.0,3532.0,9.555194310388622,2.677299114507629
BRONX,4,2019,1.7549361207897793,861.0,1511.0,1.5878489326765188,609.0,967.0,0.1670871881132605,1.1052286427724671
BRONX,4,2020,2.0232288037166084,861.0,1742.0,0.6354679802955665,609.0,387.0,1.387760823421042,3.183840675616058
BRONX,4,2021,5.0789779326364695,861.0,4373.0,2.032840722495895,609.0,1238.0,3.0461372101405746,2.4984632964261793
BRONX,4,2022,5.284552845528455,861.0,4550.0,2.9573070607553364,609.0,1801.0,2.3272457847731185,1.7869476307200607
BRONX,4,2023,6.588850174216028,861.0,5673.0,3.129720853858785,609.0,1906.0,3.4591293203572433,2.105251708340798
BRONX,4,2024,10.46225319396051,861.0,9008.0,4.4236453201970445,609.0,2694.0,6.038607873763466,2.3650750538685785
BRONX,4,2025,18.48780487804878,861.0,15918.0,6.3399014778325125,609.0,3861.0,12.147903400216268,2.9161028673223797
BRONX,5,2019,1.686881188118812,808.0,1363.0,1.2991266375545851,458.0,595.0,0.3877545505642268,1.2984732506864132
BRONX,5,2020,1.7227722772277227,808.0,1392.0,1.002183406113537,458.0,459.0,0.7205888711141857,1.7190189607196014
BRONX,5,2021,4.110148514851486,808.0,3321.0,2.495633187772926,458.0,1143.0,1.6145153270785597,1.6469361503079443
BRONX,5,2022,5.2066831683168315,808.0,4207.0,2.943231441048035,458.0,1348.0,2.2634517272687966,1.7690362693539383
BRONX,5,2023,6.056930693069307,808.0,4894.0,4.0,458.0,1832.0,2.056930693069307,1.5142326732673268
BRONX,5,2024,10.298267326732674,808.0,8321.0,6.126637554585153,458.0,2806.0,4.171629772147521,1.680900369081812
BRONX,5,2025,20.193069306930692,808.0,16316.0,8.050218340611353,458.0,3687.0,12.142850966319338,2.5083877793800533
BRONX,6,2019,1.745639534883721,688.0,1201.0,0.8870748299319728,735.0,652.0,0.8585647049517482,1.9678605186189186
BRONX,6,2020,1.3502906976744187,688.0,929.0,0.780952380952381,735.0,574.0,0.5693383167220377,1.7290307714123654
BRONX,6,2021,3.2093023255813953,688.0,2208.0,2.0625850340136056,735.0,1516.0,1.1467172915677897,1.5559612198564152
BRONX,6,2022,3.7936046511627906,688.0,2610.0,2.36734693877551,735.0,1740.0,1.4262577123872804,1.6024709302325582
BRONX,6,2023,4.975290697674419,688.0,3423.0,2.963265306122449,735.0,2178.0,2.01202539155197,1.6789892850278687
BRONX,6,2024,8.431686046511627,688.0,5801.0,5.0421768707483,735.0,3706.0,3.3895091757633278,1.672231312516472
BRONX,6,2025,14.267441860465116,688.0,9816.0,7.819047619047619,735.0,5747.0,6.448394241417497,1.82470328300711
BRONX,7,2019,1.6720686367969495,1049.0,1754.0,1.3451086956521738,368.0,495.0,0.32695994114477567,1.243073249174298
BRONX,7,2020,1.6406101048617732,1049.0,1721.0,0.5027173913043478,368.0,185.0,1.1378927135574255,3.2634838842655816
BRONX,7,2021,3.892278360343184,1049.0,4083.0,2.0380434782608696,368.0,750.0,1.8542348820823142,1.909811248808389
BRONX,7,2022,3.861773117254528,1049.0,4051.0,1.9891304347826086,368.0,732.0,1.8726426824719196,1.9414378512973585
BRONX,7,2023,5.34604385128694,1049.0,5608.0,2.3885869565217392,368.0,879.0,2.957456894765201,2.238161703382928
BRONX,7,2024,8.744518589132507,1049.0,9173.0,4.195652173913044,368.0,1544.0,4.5488664152194636,2.084185777720701
BRONX,7,2025,14.367969494756911,1049.0,15072.0,5.1875,368.0,1909.0,9.180469494756911,2.769729059230248
BRONX,8,2019,1.6348314606741574,356.0,582.0,0.7272727272727273,242.0,176.0,0.9075587334014301,2.2478932584269664
BRONX,8,2020,1.4747191011235956,356.0,525.0,0.33884297520661155,242.0,82.0,1.135876125916984,4.352219786242807
BRONX,8,2021,3.042134831460674,356.0,1083.0,1.2355371900826446,242.0,299.0,1.8065976413780294,2.4621960843260307
BRONX,8,2022,3.646067415730337,356.0,1298.0,1.4008264462809918,242.0,339.0,2.2452409694493456,2.6027973882204765
BRONX,8,2023,5.5,356.0,1958.0,1.921487603305785,242.0,465.0,3.578512396694215,2.8623655913978494
BRONX,8,2024,9.264044943820224,356.0,3298.0,2.1115702479338845,242.0,511.0,7.152474695886339,4.38727764462719
BRONX,8,2025,14.24438202247191,356.0,5071.0,3.020661157024793,242.0,731.0,11.223720865447117,4.715650409628184
BRONX,9,2019,2.365284974093264,386.0,913.0,1.1006794317479927,1619.0,1782.0,1.2646055423452716,2.1489317469455638
BRONX,9,2020,2.7357512953367875,386.0,1056.0,0.5985176034589252,1619.0,969.0,2.1372336918778623,4.570878583230401
BRONX,9,2021,4.919689119170984,386.0,1899.0,1.4008647313156268,1619.0,2268.0,3.518824387855357,3.511894481454067
BRONX,9,2022,5.321243523316062,386.0,2054.0,1.9981470043236567,1619.0,3235.0,3.323096518992406,2.663089107959414
BRONX,9,2023,6.935233160621761,386.0,2677.0,1.8035824583075972,1619.0,2920.0,5.131650702314165,3.845254276385833
BRONX,9,2024,9.432642487046632,386.0,3641.0,2.3008029647930823,1619.0,3725.0,7.13183952225355,4.099717633967382
BRONX,9,2025,13.813471502590673,386.0,5332.0,2.65348980852378,1619.0,4296.0,11.159981694066893,5.205775224090853
BROOKLYN,0,2019,,,,0.0,2.0,0.0,,
BROOKLYN,0,2020,,,,0.0,2.0,0.0,,
BROOKLYN,0,2021,,,,1.0,2.0,2.0,,
BROOKLYN,0,2022,,,,1.0,2.0,2.0,,
BROOKLYN,0,2023,,,,1.5,2.0,3.0,,
BROOKLYN,0,2024,,,,1.5,2.0,3.0,,
BROOKLYN,0,2025,,,,2.0,2.0,4.0,,
BROOKLYN,1,2019,0.8401184307920059,1351.0,1135.0,0.46028767979987495,3198.0,1472.0,0.3798307509921309,1.8252029495060018
BROOKLYN,1,2020,0.768319763138416,1351.0,1038.0,0.31926203877423387,3198.0,1021.0,0.4490577243641821,2.406549072004559
BROOKLYN,1,2021,1.0407105847520355,1351.0,1406.0,0.9693558474046279,3198.0,3100.0,0.0713547373474076,1.073610467753874
BROOKLYN,1,2022,1.0888230940044412,1351.0,1471.0,1.2351469668542838,3198.0,3950.0,-0.1463238728498426,0.881533229019292
BROOKLYN,1,2023,1.2871946706143598,1351.0,1739.0,1.1194496560350218,3198.0,3580.0,0.167745014579338,1.149845965537632
BROOKLYN,1,2024,1.3678756476683938,1351.0,1848.0,1.1213258286429018,3198.0,3586.0,0.246549819025492,1.2198734861247973
BROOKLYN,1,2025,2.301258327165063,1351.0,3109.0,1.5372107567229518,3198.0,4916.0,0.764047570442111,1.4970350142949291
BROOKLYN,12,2019,0.3783783783783784,37.0,14.0,0.5178571428571429,168.0,87.0,-0.1394787644787645,0.7306616961789375
BROOKLYN,12,2020,0.6216216216216216,37.0,23.0,0.38095238095238093,168.0,64.0,0.24066924066924067,1.6317567567567568
BROOKLYN,12,2021,1.054054054054054,37.0,39.0,1.2380952380952381,168.0,208.0,-0.1840411840411842,0.8513513513513512
BROOKLYN,12,2022,0.9459459459459459,37.0,35.0,1.7619047619047619,168.0,296.0,-0.8159588159588159,0.5368882395909423
BROOKLYN,12,2023,2.4594594594594597,37.0,91.0,1.0476190476190477,168.0,176.0,1.411840411840412,2.347665847665848
BROOKLYN,12,2024,1.6756756756756757,37.0,62.0,1.369047619047619,168.0,230.0,0.3066280566280566,1.2239717978848412
BROOKLYN,12,2025,4.054054054054054,37.0,150.0,1.7380952380952381,168.0,292.0,2.3159588159588163,2.3324694557571273
BROOKLYN,14,2019,2.097879282218597,613.0,1286.0,0.8517441860465116,344.0,293.0,1.2461350961720856,2.4630391572805372
BROOKLYN,14,2020,2.7569331158238173,613.0,1690.0,1.1453488372093024,344.0,394.0,1.611584278614515,2.4070685072167337
BROOKLYN,14,2021,3.9967373572593803,613.0,2450.0,1.4593023255813953,344.0,502.0,2.537435031677985,2.738800101388898
BROOKLYN,14,2022,4.057096247960848,613.0,2487.0,2.546511627906977,344.0,876.0,1.510584620053871,1.593197613354488
BROOKLYN,14,2023,5.280587275693311,613.0,3237.0,2.2122093023255816,344.0,761.0,3.06837797336773,2.3870197409178697
BROOKLYN,14,2024,7.411092985318108,613.0,4543.0,2.8430232558139537,344.0,978.0,4.568069729504154,2.606764812831727
BROOKLYN,14,2025,12.375203915171289,613.0,7586.0,3.61046511627907,344.0,1242.0,8.76473879889222,3.427592710804286
BROOKLYN,16,2019,1.668997668997669,429.0,716.0,1.3910614525139664,1611.0,2241.0,0.2779362164837027,1.199801537150935
BROOKLYN,16,2020,1.7505827505827505,429.0,751.0,0.9410304158907511,1611.0,1516.0,0.8095523346919994,1.8602828569847039
BROOKLYN,16,2021,2.3076923076923075,429.0,990.0,1.697082557417753,1611.0,2734.0,0.6106097502745544,1.3597996736255695
BROOKLYN,16,2022,2.7505827505827507,429.0,1180.0,2.2414649286157666,1611.0,3611.0,0.5091178219669841,1.2271361980583804
BROOKLYN,16,2023,3.2517482517482517,429.0,1395.0,2.265052762259466,1611.0,3649.0,0.9866954894887856,1.4356170001552297
BROOKLYN,16,2024,4.638694638694639,429.0,1990.0,2.27870887647424,1611.0,3671.0,2.359985762220399,2.0356679550359744
BROOKLYN,16,2025,8.265734265734265,429.0,3546.0,2.815642458100559,1611.0,4536.0,5.450091807633706,2.935647685647685
BROOKLYN,17,2019,2.065063649222065,707.0,1460.0,1.0849326255614538,2449.0,2657.0,0.9801310236606111,1.9034026635095358
BROOKLYN,17,2020,2.3988684582743987,707.0,1696.0,0.7586770110249081,2449.0,1858.0,1.6401914472494905,3.161910039996772
BROOKLYN,17,2021,3.6322489391796324,707.0,2568.0,1.7562270314414046,2449.0,4301.0,1.8760219077382279,2.0682114978030506
BROOKLYN,17,2022,4.633663366336633,707.0,3276.0,2.2703144140465494,2449.0,5560.0,2.363348952290084,2.0409787021867656
BROOKLYN,17,2023,5.274398868458275,707.0,3729.0,2.1506737443854633,2449.0,5267.0,3.1237251240728114,2.4524402560953704
BROOKLYN,17,2024,5.499292786421499,707.0,3888.0,2.3270722743977132,2449.0,5699.0,3.172220512023786,2.3631809148879195
BROOKLYN,17,2025,10.728429985855728,707.0,7585.0,3.152715394038383,2449.0,7721.0,7.575714591817345,3.4029173727963578
BROOKLYN,18,2019,,,,0.0,2.0,0.0,,
BROOKLYN,18,2020,,,,0.5,2.0,1.0,,
BROOKLYN,18,2021,,,,0.5,2.0,1.0,,
BROOKLYN,18,2022,,,,0.5,2.0,1.0,,
BROOKLYN,18,2023,,,,0.5,2.0,1.0,,
BROOKLYN,18,2024,,,,0.5,2.0,1.0,,
BROOKLYN,18,2025,,,,1.0,2.0,2.0,,
BROOKLYN,2,2019,1.117202268431002,529.0,591.0,0.4086206896551724,1740.0,711.0,0.7085815787758295,2.734081500801608
BROOKLYN,2,2020,0.8809073724007561,529.0,466.0,0.2413793103448276,1740.0,420.0,0.6395280620559285,3.6494733999459896
BROOKLYN,2,2021,1.4574669187145557,529.0,771.0,0.8494252873563218,1740.0,1478.0,0.6080416313582339,1.7158270896910195
BROOKLYN,2,2022,1.5349716446124764,529.0,812.0,1.056896551724138,1740.0,1839.0,0.4780750928883384,1.4523385870721635
BROOKLYN,2,2023,1.6918714555765595,529.0,895.0,1.047126436781609,1740.0,1822.0,0.6447450187949504,1.6157279542827738
BROOKLYN,2,2024,1.7334593572778827,529.0,917.0,1.0724137931034483,1740.0,1866.0,0.6610455641744344,1.6164090469793762
BROOKLYN,2,2025,2.931947069943289,529.0,1551.0,1.3373563218390805,1740.0,2327.0,1.5945907481042085,2.192345466996701
BROOKLYN,3,2019,1.3232758620689655,1160.0,1535.0,0.757700205338809,3896.0,2952.0,0.5655756567301565,1.7464372488552473
BROOKLYN,3,2020,1.2732758620689655,1160.0,1477.0,0.5148870636550308,3896.0,2006.0,0.7583887984139347,2.472922611475917
BROOKLYN,3,2021,2.093103448275862,1160.0,2428.0,1.1876283367556468,3896.0,4627.0,0.9054751115202151,1.7624229596893792
BROOKLYN,3,2022,2.1801724137931036,1160.0,2529.0,1.4984599589322383,3896.0,5838.0,0.6817124548608653,1.454942056207251
BROOKLYN,3,2023,3.1206896551724137,1160.0,3620.0,1.5646817248459959,3896.0,6096.0,1.5560079303264178,1.9944565119015296
BROOKLYN,3,2024,3.7103448275862068,1160.0,4304.0,1.5580082135523614,3896.0,6070.0,2.152336614033845,2.3814667954325968
BROOKLYN,3,2025,4.858620689655172,1160.0,5636.0,2.010780287474333,3896.0,7834.0,2.8478404021808394,2.416286214819575
BROOKLYN,30,2019,,,,0.0,1.0,0.0,,
BROOKLYN,30,2020,,,,0.0,1.0,0.0,,
BROOKLYN,30,2021,,,,0.0,1.0,0.0,,
BROOKLYN,30,2022,,,,0.0,1.0,0.0,,
BROOKLYN,30,2023,,,,0.0,1.0,0.0,,
BROOKLYN,30,2024,,,,0.0,1.0,0.0,,
BROOKLYN,30,2025,,,,2.0,1.0,2.0,,
BROOKLYN,301,2019,0.0,4.0,0.0,,,,,
BROOKLYN,301,2020,0.0,4.0,0.0,,,,,
BROOKLYN,301,2021,0.5,4.0,2.0,,,,,
BROOKLYN,301,2022,2.5,4.0,10.0,,,,,
BROOKLYN,301,2023,0.0,4.0,0.0,,,,,
BROOKLYN,301,2024,1.25,4.0,5.0,,,,,
BROOKLYN,301,2025,1.75,4.0,7.0,,,,,
BROOKLYN,302,2019,0.0,3.0,0.0,,,,,
BROOKLYN,302,2020,0.3333333333333333,3.0,1.0,,,,,
BROOKLYN,302,2021,0.3333333333333333,3.0,1.0,,,,,
BROOKLYN,302,2022,0.6666666666666666,3.0,2.0,,,,,
BROOKLYN,302,2023,0.0,3.0,0.0,,,,,
BROOKLYN,302,2024,1.6666666666666667,3.0,5.0,,,,,
BROOKLYN,302,2025,8.666666666666666,3.0,26.0,,,,,
BROOKLYN,303,2019,0.3333333333333333,3.0,1.0,,,,,
BROOKLYN,303,2020,0.0,3.0,0.0,,,,,
BROOKLYN,303,2021,1.0,3.0,3.0,,,,,
BROOKLYN,303,2022,1.3333333333333333,3.0,4.0,,,,,
BROOKLYN,303,2023,1.0,3.0,3.0,,,,,
BROOKLYN,303,2024,1.3333333333333333,3.0,4.0,,,,,
BROOKLYN,303,2025,1.0,3.0,3.0,,,,,
BROOKLYN,304,2019,2.0,3.0,6.0,,,,,
BROOKLYN,304,2020,0.0,3.0,0.0,,,,,
BROOKLYN,304,2021,0.0,3.0,0.0,,,,,
BROOKLYN,304,2022,3.0,3.0,9.0,,,,,
BROOKLYN,304,2023,0.6666666666666666,3.0,2.0,,,,,
BROOKLYN,304,2024,0.6666666666666666,3.0,2.0,,,,,
BROOKLYN,304,2025,1.6666666666666667,3.0,5.0,,,,,
BROOKLYN,305,2019,0.0,1.0,0.0,,,,,
BROOKLYN,305,2020,0.0,1.0,0.0,,,,,
BROOKLYN,305,2021,0.0,1.0,0.0,,,,,
BROOKLYN,305,2022,0.0,1.0,0.0,,,,,
BROOKLYN,305,2023,0.0,1.0,0.0,,,,,
BROOKLYN,305,2024,0.0,1.0,0.0,,,,,
BROOKLYN,305,2025,1.0,1.0,1.0,,,,,
BROOKLYN,306,2019,1.0,1.0,1.0,,,,,
BROOKLYN,306,2020,0.0,1.0,0.0,,,,,
BROOKLYN,306,2021,2.0,1.0,2.0,,,,,
BROOKLYN,306,2022,3.0,1.0,3.0,,,,,
BROOKLYN,306,2023,2.0,1.0,2.0,,,,,
BROOKLYN,306,2024,2.0,1.0,2.0,,,,,
BROOKLYN,306,2025,2.0,1.0,2.0,,,,,
BROOKLYN,316,2019,0.0,1.0,0.0,,,,,
BROOKLYN,316,2020,0.0,1.0,0.0,,,,,
BROOKLYN,316,2021,0.0,1.0,0.0,,,,,
BROOKLYN,316,2022,0.0,1.0,0.0,,,,,
BROOKLYN,316,2023,0.0,1.0,0.0,,,,,
BROOKLYN,316,2024,4.0,1.0,4.0,,,,,
BROOKLYN,316,2025,4.0,1.0,4.0,,,,,
BROOKLYN,32,2019,0.0,1.0,0.0,,,,,
BROOKLYN,32,2020,0.0,1.0,0.0,,,,,
BROOKLYN,32,2021,0.0,1.0,0.0,,,,,
BROOKLYN,32,2022,1.0,1.0,1.0,,,,,
BROOKLYN,32,2023,4.0,1.0,4.0,,,,,
BROOKLYN,32,2024,1.0,1.0,1.0,,,,,
BROOKLYN,32,2025,2.0,1.0,2.0,,,,,
BROOKLYN,4,2019,1.1810850439882699,1364.0,1611.0,0.8329845123482629,2389.0,1990.0,0.348100531640007,1.4178955628582797
BROOKLYN,4,2020,1.0762463343108504,1364.0,1468.0,0.5579740477187107,2389.0,1333.0,0.5182722865921396,1.928846581146753
BROOKLYN,4,2021,1.3526392961876832,1364.0,1845.0,1.1670154876517371,2389.0,2788.0,0.18562380853594607,1.1590585647748834
BROOKLYN,4,2022,1.3181818181818181,1364.0,1798.0,1.2988698200083717,2389.0,3103.0,0.01931199817344642,1.0148683092608326
BROOKLYN,4,2023,1.6986803519061584,1364.0,2317.0,1.3545416492256175,2389.0,3236.0,0.3441387026805409,1.2540628432335637
BROOKLYN,4,2024,1.9772727272727273,1364.0,2697.0,1.429886982000837,2389.0,3416.0,0.5473857452718902,1.3828174898871621
BROOKLYN,4,2025,2.839442815249267,1364.0,3873.0,1.9753034742570112,2389.0,4719.0,0.8641393409922555,1.4374716858721124
BROOKLYN,5,2019,1.3763636363636365,550.0,757.0,1.2727642276422764,2460.0,3131.0,0.10359940872136009,1.0813971719752622
BROOKLYN,5,2020,1.6472727272727272,550.0,906.0,0.8382113821138212,2460.0,2062.0,0.809061345158906,1.9652235252623225
BROOKLYN,5,2021,2.0254545454545454,550.0,1114.0,1.6772357723577236,2460.0,4126.0,0.3482187730968218,1.2076146829418763
BROOKLYN,5,2022,2.5290909090909093,550.0,1391.0,1.9089430894308943,2460.0,4696.0,0.620147819660015,1.3248644881523928
BROOKLYN,5,2023,2.930909090909091,550.0,1612.0,2.0016260162601625,2460.0,4924.0,0.9292830746489287,1.4642640868473527
BROOKLYN,5,2024,4.650909090909091,550.0,2558.0,2.4203252032520326,2460.0,5954.0,2.2305838876570587,1.9216050325220633
BROOKLYN,5,2025,5.836363636363636,550.0,3210.0,2.939430894308943,2460.0,7231.0,2.896932742054693,1.985542047497517
BROOKLYN,6,2019,0.7820324005891016,679.0,531.0,0.2943095324392896,2759.0,812.0,0.487722868149812,2.657176592642034
BROOKLYN,6,2020,0.5979381443298969,679.0,406.0,0.09786154403769481,2759.0,270.0,0.5000766002922021,6.1100420007636504
BROOKLYN,6,2021,1.2223858615611194,679.0,830.0,0.6723450525552737,2759.0,1855.0,0.5500408090058457,1.8180930415348402
BROOKLYN,6,2022,1.004418262150221,679.0,682.0,0.9383834722725625,2759.0,2589.0,0.06603478987765843,1.0703707938479952
BROOKLYN,6,2023,1.2960235640648012,679.0,880.0,0.9764407393983328,2759.0,2694.0,0.3195828246664685,1.3272936203618362
BROOKLYN,6,2024,1.8512518409425627,679.0,1257.0,0.9488945270025372,2759.0,2618.0,0.9023573139400255,1.9509563900536784
BROOKLYN,6,2025,3.303387334315169,679.0,2243.0,1.301558535701341,2759.0,3591.0,2.001828798613828,2.5380244097397804
BROOKLYN,7,2019,1.238429172510519,713.0,883.0,0.64,1650.0,1056.0,0.598429172510519,1.935045582047686
BROOKLYN,7,2020,1.1220196353436185,713.0,800.0,0.336969696969697,1650.0,556.0,0.7850499383739216,3.329734529347069
BROOKLYN,7,2021,1.5638148667601683,713.0,1115.0,0.9981818181818182,1650.0,1647.0,0.5656330485783502,1.566663345570296
BROOKLYN,7,2022,1.4361851332398317,713.0,1024.0,1.146060606060606,1650.0,1891.0,0.29012452717922566,1.2531493759099537
BROOKLYN,7,2023,1.6998597475455821,713.0,1212.0,1.1296969696969696,1650.0,1864.0,0.5701627778486125,1.5047041756707138
BROOKLYN,7,2024,2.4656381486676016,713.0,1758.0,1.312121212121212,1650.0,2165.0,1.1535169365463895,1.879123762263992
BROOKLYN,7,2025,2.967741935483871,713.0,2116.0,1.7751515151515151,1650.0,2929.0,1.1925904203323558,1.6718245795658542
BROOKLYN,8,2019,1.6019512195121952,1025.0,1642.0,0.8022857142857143,1750.0,1404.0,0.7996655052264809,1.9967340699048017
BROOKLYN,8,2020,1.401951219512195,1025.0,1437.0,0.676,1750.0,1183.0,0.725951219512195,2.073892336556501
BROOKLYN,8,2021,2.80390243902439,1025.0,2874.0,1.3325714285714285,1750.0,2332.0,1.4713310104529616,2.1041291888047526
BROOKLYN,8,2022,2.76,1025.0,2829.0,1.701142857142857,1750.0,2977.0,1.0588571428571427,1.6224386966745046
BROOKLYN,8,2023,3.2243902439024392,1025.0,3305.0,1.778857142857143,1750.0,3113.0,1.4455331010452963,1.8126189935204846
BROOKLYN,8,2024,3.7697560975609754,1025.0,3864.0,1.8708571428571428,1750.0,3274.0,1.8988989547038326,2.014988750987082
BROOKLYN,8,2025,6.443902439024391,1025.0,6605.0,2.7577142857142856,1750.0,4826.0,3.686188153310105,2.3366824012210285
BROOKLYN,86,2019,,,,0.0,1.0,0.0,,
BROOKLYN,86,2020,,,,0.0,1.0,0.0,,
BROOKLYN,86,2021,,,,0.0,1.0,0.0,,
BROOKLYN,86,2022,,,,0.0,1.0,0.0,,
BROOKLYN,86,2023,,,,0.0,1.0,0.0,,
BROOKLYN,86,2024,,,,0.0,1.0,0.0,,
BROOKLYN,86,2025,,,,0.0,1.0,0.0,,
