borough,communityboard,inspection_year,mean_treated,n_treated,total_treated,mean_control,n_control,total_control,diff,ratio
BRONX,1,2019,1.310546875,512.0,671.0,0.9582577132486388,551.0,528.0,0.35228916175136116,1.3676350911458333
BRONX,1,2020,1.611328125,512.0,825.0,0.3484573502722323,551.0,192.0,1.2628707747277677,4.624176025390625
BRONX,1,2021,2.4140625,512.0,1236.0,1.5952813067150635,551.0,879.0,0.8187811932849365,1.513251919795222
BRONX,1,2022,3.494140625,512.0,1789.0,1.736842105263158,551.0,957.0,1.757298519736842,2.0117779356060606
BRONX,1,2023,4.064453125,512.0,2081.0,2.206896551724138,551.0,1216.0,1.857556573275862,1.841705322265625
BRONX,1,2024,8.3359375,512.0,4268.0,3.1415607985480944,551.0,1731.0,5.1943767014519056,2.6534382221259385
BRONX,1,2025,13.255859375,512.0,6787.0,5.488203266787659,551.0,3024.0,7.767656108212341,2.415336810722553
BRONX,10,2019,1.638095238095238,210.0,344.0,1.2914147521160821,827.0,1068.0,0.3466804859791559,1.268450151596219
BRONX,10,2020,1.1761904761904762,210.0,247.0,0.528415961305925,827.0,437.0,0.6477745148845512,2.225879917184265
BRONX,10,2021,3.6285714285714286,210.0,762.0,2.128174123337364,827.0,1760.0,1.5003973052340647,1.7050162337662338
BRONX,10,2022,3.1952380952380954,210.0,671.0,2.588875453446191,827.0,2141.0,0.6063626417919044,1.2342185449611887
BRONX,10,2023,5.119047619047619,210.0,1075.0,2.316807738814994,827.0,1916.0,2.8022398802326247,2.209526294860324
BRONX,10,2024,7.228571428571429,210.0,1518.0,2.709794437726723,827.0,2241.0,4.518776990844706,2.6675718748007906
BRONX,10,2025,10.523809523809524,210.0,2210.0,2.7436517533252722,827.0,2269.0,7.7801577704842515,3.8356943482549473
BRONX,11,2019,1.843076923076923,325.0,599.0,0.6921373200442967,903.0,625.0,1.1509396030326262,2.662877538461539
BRONX,11,2020,1.7415384615384615,325.0,566.0,0.19490586932447398,903.0,176.0,1.5466325922139874,8.93527972027972
BRONX,11,2021,3.8430769230769233,325.0,1249.0,1.1096345514950166,903.0,1002.0,2.7334423715819067,3.463371718102257
BRONX,11,2022,4.892307692307693,325.0,1590.0,1.5913621262458473,903.0,1437.0,3.3009455660618454,3.0742893849365664
BRONX,11,2023,7.3938461538461535,325.0,2403.0,1.8073089700996678,903.0,1632.0,5.5865371837464854,4.091080316742081
BRONX,11,2024,10.193846153846154,325.0,3313.0,1.956810631229236,903.0,1767.0,8.237035522616917,5.209418832440904
BRONX,11,2025,14.603076923076923,325.0,4746.0,2.2059800664451825,903.0,1992.0,12.397096856631741,6.619768303985172
BRONX,12,2019,1.897029702970297,505.0,958.0,1.0199900049975013,2001.0,2041.0,0.8770396979727957,1.8598512668513298
BRONX,12,2020,2.0693069306930694,505.0,1045.0,0.543728135932034,2001.0,1088.0,1.5255787947610355,3.8057749708794413
BRONX,12,2021,4.196039603960396,505.0,2119.0,1.4482758620689655,2001.0,2898.0,2.747763741891431,2.8972654408297975
BRONX,12,2022,4.281188118811881,505.0,2162.0,1.910544727636182,2001.0,3823.0,2.370643391175699,2.240820671133292
BRONX,12,2023,5.718811881188119,505.0,2888.0,2.103448275862069,2001.0,4209.0,3.6153636053260496,2.718779418925499
BRONX,12,2024,8.178217821782178,505.0,4130.0,2.9350324837581208,2001.0,5873.0,5.243185338024057,2.7864147558975207
BRONX,12,2025,9.827722772277228,505.0,4963.0,3.339330334832584,2001.0,6682.0,6.488392437444645,2.943022039408371
BRONX,2,2019,1.3518518518518519,324.0,438.0,1.4115384615384616,520.0,734.0,-0.05968660968660977,0.9577152083964072
BRONX,2,2020,1.154320987654321,324.0,374.0,1.0576923076923077,520.0,550.0,0.0966286799620133,1.0913580246913581
BRONX,2,2021,2.873456790123457,324.0,931.0,2.8442307692307693,520.0,1479.0,0.029226020892687554,1.0102755448709921
BRONX,2,2022,4.765432098765432,324.0,1544.0,2.871153846153846,520.0,1493.0,1.8942782526115858,1.6597620169846112
BRONX,2,2023,5.407407407407407,324.0,1752.0,3.523076923076923,520.0,1832.0,1.8843304843304844,1.5348536309235
BRONX,2,2024,9.145061728395062,324.0,2963.0,4.9423076923076925,520.0,2570.0,4.202754036087369,1.850362684344526
BRONX,2,2025,14.38888888888889,324.0,4662.0,5.5903846153846155,520.0,2907.0,8.798504273504275,2.573863853533616
BRONX,203,2019,0.0,2.0,0.0,,,,,
BRONX,203,2020,0.0,2.0,0.0,,,,,
BRONX,203,2021,0.0,2.0,0.0,,,,,
BRONX,203,2022,0.0,2.0,0.0,,,,,
BRONX,203,2023,0.0,2.0,0.0,,,,,
BRONX,203,2024,2.0,2.0,4.0,,,,,
BRONX,203,2025,3.0,2.0,6.0,,,,,
BRONX,205,2019,0.0,1.0,0.0,,,,,
BRONX,205,2020,0.0,1.0,0.0,,,,,
BRONX,205,2021,0.0,1.0,0.0,,,,,
BRONX,205,2022,0.0,1.0,0.0,,,,,
BRONX,205,2023,0.0,1.0,0.0,,,,,
BRONX,205,2024,2.0,1.0,2.0,,,,,
BRONX,205,2025,11.0,1.0,11.0,,,,,
BRONX,212,2019,0.0,1.0,0.0,,,,,
BRONX,212,2020,0.0,1.0,0.0,,,,,
BRONX,212,2021,0.0,1.0,0.0,,,,,
BRONX,212,2022,0.0,1.0,0.0,,,,,
BRONX,212,2023,0.0,1.0,0.0,,,,,
BRONX,212,2024,0.0,1.0,0.0,,,,,
BRONX,212,2025,0.0,1.0,0.0,,,,,
