term,coef,std_err,t,p_value,infer_method,p_value_resampled,ci_low_resampled,ci_high_resampled,resample_count,event_time,ci_low,ci_high
evt_m4,0.11558441558441401,0.18201612849362703,0.6350229319840797,0.5254134588646431,permutation,0.5081967213114754,-0.5233766233766226,0.2558441558441553,60,-4,-0.24116719626309496,0.472336027431923
evt_m3,0.09090909090909105,0.24703828102520617,0.3679959661790849,0.7128762419974067,permutation,0.6557377049180327,-0.34545454545454746,0.3090909090909091,60,-3,-0.393285939900313,0.5751041217184951
evt_m2,0.01818181818181741,0.2378955045115475,0.076427750155047,0.9390787927355401,permutation,0.9016393442622951,-0.3090909090909184,0.3454545454545499,60,-2,-0.44809337066081567,0.4844570070244505
evt_p0,1.4420627526912147e-19,2.625911059794323e-17,0.005491666396363651,0.9956183061934182,permutation,1.0,-5.051144561065578e-16,2.881462080603543e-16,60,0,-5.132365049669961e-17,5.161206304723785e-17
evt_p1,1.6272727272727288,0.4393270873928548,3.704011826199075,0.0002122163579691618,permutation,0.5901639344262295,-4.263636363636376,1.9545454545454515,60,1,0.7661916359827333,2.4883538185627243
evt_p2,1.4909090909090912,0.4359035094044788,3.42027319978666,0.0006255827540187128,permutation,0.5901639344262295,-4.181818181818191,1.9272727272727295,60,2,0.6365382124763127,2.3452799693418696
evt_p3,1.3909090909090924,0.4276789601363655,3.2522270687938466,0.0011450450613934193,permutation,0.5901639344262295,-4.172727272727281,1.9363636363636378,60,3,0.552658329041816,2.2291598527763687
evt_p4,1.3363636363636364,0.40973419801808775,3.261537950280251,0.0011080959884617733,permutation,0.4918032786885246,-4.009090909090915,1.9909090909090899,60,4,0.5332846082481845,2.1394426644790885
