avg_pre_coef,max_abs_pre_coef,avg_post_coef,first_post_coef,last_post_coef,outcome,display_name,domain,treated_pre_policy_mean,avg_post_pct_of_pre_policy_mean
1.7059840447926569,1.9878236841280952,-0.5435700204906201,-0.8095342876974172,-0.9633859720628148,rent_burden_30_plus_pct,Rent burden 30%+,affordability,54.521052631578954,-0.9969910598823999
-3.2459701558481697,14.172366280068667,-18.655796023079272,-4.954100215922821,-31.741235986123435,index_sa_mean,FHFA HPI (SA mean),capitalization,261.44434210526316,-7.135666380406137
-31.48865907139128,58.50541770820524,41.82931658552225,40.963896863363374,28.543134415022507,qcew_total_covered_avg_weekly_wage,QCEW average weekly wage,labor,1115.1363636363637,3.7510494635042164
-225418.16581646472,486371.31068274286,-234905.53443272886,-560023.2503550411,-267374.9408978564,qcew_total_covered_emplvl,QCEW covered employment,labor,9998942.386363635,-2.34930380990182
-68.81833006676523,124.10649766335678,-9.883132393389701,-12.513468341681914,-47.93091569780756,DP04_0134E,Median gross rent,rent_level,1146.9473684210527,-0.8616901407599317
0.0793883569055696,0.1312991775376562,0.7135191660128236,-0.0559661564560307,0.3665640343691596,moved_different_state_pct,Moved from different state,stability,2.2842105263157895,31.237014180284906
0.23231228000085205,0.4621852265541224,-0.31260943364990545,-0.5246830435731855,-0.5401081364618947,moved_last_year_pct,Moved last year,stability,16.005263157894735,-1.9531664713410735
-0.2323122800008426,0.4621852265541015,0.31260943364991506,0.5246830435731766,0.5401081364619209,same_house_1y_pct,Same house one year ago,stability,83.99473684210525,0.3721774070648779
2819.27167577467,5338.294701214626,-5044.438183469742,-1728.0044698854003,-8102.064940447377,permits_units_5plus,5+ unit permits,supply,23889.78947368421,-21.115456831574182
0.013530482372463633,0.02709488544792,-0.04092762245108516,0.0097535631770972,-0.0559547955967085,permits_units_multifamily_share,Multifamily permit share,supply,0.45878493340995097,-8.920873261222367
6276.4705663578,10430.791831754334,-12818.86146040536,-5652.933091724722,-18033.73732992322,permits_units_total,Permitted units,supply,51844.63157894737,-24.72553294333899
-1.9517804693896323,4.927915640175343,0.3396172611508519,-1.5653991401195526,0.1436242926865816,renter_share_pct,Renter share,tenure_mix,42.24444444444445,0.8039335482266352
