date,event,description
2021-11-02,ballot_adoption,Voters approved rent stabilization ballot initiative
2022-05-01,ordinance_effective,"Ordinance took effect, 3% annual cap"
2022-07-01,stakeholder_report,Stakeholder group final report released
2023-01-01,amendment_2023,"Council amendments effective: new construction exemption, vacancy decontrol, self-certification"
2025-06-13,amendment_2025,Additional amendments effective: expanded exemptions
