dimension,category,rsbl_buildings,hpd_observed_buildings,mdr_registered_buildings,pluto_enriched_buildings,stratified_eligible_buildings,refined_cb_matched_buildings,within_block_matched_buildings,hpd_observed_share,mdr_registered_share,pluto_enriched_share,stratified_eligible_share,refined_cb_matched_share,within_block_matched_share
borough,BROOKLYN,16926,9854,9836,9854,9807,8925,6192,0.5821812596006144,0.5811178069242585,0.5821812596006144,0.5794044665012407,0.5272952853598015,0.3658277206664303
borough,MANHATTAN,13707,10597,10591,10597,10525,9837,6787,0.7731086306266871,0.7726708980812723,0.7731086306266871,0.76785584008171,0.7176625082074852,0.4951484642883198
borough,QUEENS,8880,5775,5755,5775,5757,4843,2326,0.6503378378378378,0.6480855855855856,0.6503378378378378,0.6483108108108108,0.5453828828828828,0.2619369369369369
borough,BRONX,7504,6552,6547,6552,6536,5020,1961,0.8731343283582089,0.8724680170575693,0.8731343283582089,0.8710021321961621,0.6689765458422174,0.2613272921108742
borough,STATEN ISLAND,239,173,171,173,168,121,23,0.7238493723849372,0.7154811715481172,0.7238493723849372,0.702928870292887,0.5062761506276151,0.09623430962343096
