term,coef,std_err,p_value,base_term,state_abbr,event_time,ci_low,ci_high
evt_m4_CA,-1.2220779220779434,0.37378775588674107,0.0010775928275887597,evt_m4,CA,-4,-1.9547019236159557,-0.489453920539931
evt_m3_CA,-0.3363636363636715,0.17035850706963504,0.04833107622467077,evt_m3,CA,-3,-0.6702663102201563,-0.0024609625071868035
evt_m2_CA,-0.07272727272728474,0.24601134482418163,0.7675159548983836,evt_m2,CA,-2,-0.5549095085826807,0.40945496312811125
evt_p0_CA,6.501768760025645e-16,1.5912089225858253e-16,4.3876792969826065e-05,evt_p0,CA,0,3.382999271757428e-16,9.620538248293864e-16
evt_p1_CA,-0.536363636363653,0.3110520337326691,0.08464406207199358,evt_p1,CA,1,-1.1460256224796845,0.07329834975237837
evt_p2_CA,-0.6909090909091447,0.36511615445695533,0.05845109687207298,evt_p2,CA,2,-1.406536753644777,0.024718571826487734
evt_p3_CA,-0.3443181818181955,0.24924180716107555,0.16713683512851396,evt_p3,CA,3,-0.8328321238539036,0.14419576021751257
evt_p4_CA,-0.7193181818182142,0.28202801955868045,0.010756226770051452,evt_p4,CA,4,-1.2720931001532279,-0.16654326348320048
evt_m4_OR,0.2750541125541357,0.3226477546496819,0.39394196648423974,evt_m4,OR,-4,-0.35733548655924074,0.9074437116675121
evt_m3_OR,-0.5957792207791821,0.32281509777833983,0.06495405328495905,evt_m3,OR,-3,-1.2284968124247282,0.03693837086636398
evt_m2_OR,0.4363636363636587,0.23721184090609207,0.06583396260488457,evt_m2,OR,-2,-0.02857157181228176,0.9012988445395992
evt_p0_OR,1.1727272727273004,0.24601134482418135,1.8702252878671333e-06,evt_p0,OR,0,0.6905450368719049,1.654909508582696
evt_p1_OR,-2.9057397378644555e-16,6.559409953902432e-17,9.428564388059327e-06,evt_p1,OR,1,-4.1913840888293325e-16,-1.6200953868995788e-16
evt_p2_OR,1.1363636363636442,0.35213747915308774,0.0012507560807432643,evt_p2,OR,2,0.4461741772235923,1.8265530955036962
evt_p3_OR,0.6818181818182012,0.4006959480460179,0.08883320678928328,evt_p3,OR,3,-0.10354587635199386,1.4671822399883963
evt_p4_OR,1.4409090909091198,0.27098495154641394,1.0531662047416232e-07,evt_p4,OR,4,0.9097785858781484,1.9720395959400912
