term,coef,std_err,t,p_value
Intercept,0.4139626352015546,0.04290811064301776,9.647654697397327,5.029275040058471e-22
C(inspection_year)[T.2020],0.04048817166984299,0.05380786668582671,0.7524582215133201,0.4517755451729676
C(inspection_year)[T.2021],0.01127884782234536,0.07147543143719368,0.1578003461546954,0.8746141258830503
C(inspection_year)[T.2022],-0.1518884840070943,0.07506766403093039,-2.023354342616964,0.043036627884447586
C(inspection_year)[T.2023],-0.0801665799062799,0.08545244266464297,-0.9381426370793475,0.34817111284540947
C(inspection_year)[T.2024],0.10110474868412932,0.12362078593146328,0.8178620441725949,0.4134359654989317
C(inspection_year)[T.2025],5.78402452556092e-05,0.18395178400138046,0.0003144315537335324,0.9997491199219807
