term,coef,std_err,p_value,base_term,state_abbr,event_time,ci_low,ci_high
evt_m4_CA,0.06255870196378396,0.017027672723676782,0.00023883587153271732,evt_m4,CA,-4,0.02918446342537747,0.09593294050219045
evt_m3_CA,0.049339435178142224,0.01622950466355307,0.002364938976242514,evt_m3,CA,-3,0.017529606037578208,0.08114926431870624
evt_m2_CA,0.03674492432948823,0.015836646204658522,0.02032754165244248,evt_m2,CA,-2,0.005705097768357523,0.06778475089061893
evt_p0_CA,0.010011092356360843,0.01937574103439388,0.6053783173032219,evt_p0,CA,0,-0.02796536007105116,0.047987544783772845
evt_p1_CA,-0.02467576492130163,0.018109356667279454,0.1730093832536399,evt_p1,CA,1,-0.06017010398916936,0.0108185741465661
evt_p2_CA,-0.07656905858660079,0.018217282705240565,2.6328435381670443e-05,evt_p2,CA,2,-0.1122749326888723,-0.04086318448432928
evt_p3_CA,-0.04512189582780284,0.018413901806475463,0.014268745909240155,evt_p3,CA,3,-0.08121314336849475,-0.009030648287110934
evt_p4_CA,-0.032096893958372244,0.016592462241502896,0.05306074568048874,evt_p4,CA,4,-0.06461811995171793,0.00042433203497343336
evt_m4_OR,-0.05294557518780635,0.018685909418969294,0.004604862571970348,evt_m4,OR,-4,-0.08956995764898616,-0.016321192726626535
evt_m3_OR,-0.033661583629645234,0.013694831736239055,0.013972205955841173,evt_m3,OR,-3,-0.06050345383267378,-0.0068197134266166845
evt_m2_OR,0.020395041172224737,0.012709689125394049,0.1085632541675873,evt_m2,OR,-2,-0.0045159495135475985,0.04530603185799707
evt_p0_OR,0.007897969492758089,0.015836646204658487,0.6179803323958364,evt_p0,OR,0,-0.023141857068372546,0.038937796053888724
evt_p1_OR,-0.0469690677973327,0.01653961053567349,0.004514283755521459,evt_p1,OR,1,-0.07938670444725274,-0.014551431147412662
evt_p2_OR,-0.07251274381115558,0.015036228747349051,1.4174493929993072e-06,evt_p2,OR,2,-0.10198375215595971,-0.04304173546635144
evt_p3_OR,-0.05511325815978062,0.015166039865519416,0.0002790701878642997,evt_p3,OR,3,-0.08483869629619867,-0.025387820023362564
evt_p4_OR,-0.0858447983426002,0.015911306181822155,6.844441026183277e-08,evt_p4,OR,4,-0.11703095845897163,-0.054658638226228774
