term,coef,std_err,t,p_value,infer_method,p_value_resampled,ci_low_resampled,ci_high_resampled,resample_count,event_time,ci_low,ci_high
evt_m4,-124.10649766335678,17.295774738052895,-7.175538508275479,7.202312085399181e-13,permutation,0.027888446215139442,-115.56599708896175,77.48706434687955,250,-4,-158.00621614994046,-90.2067791767731
evt_m3,-56.81637622173662,14.345477307961215,-3.9605776093769713,7.47686871265816e-05,permutation,0.0199203187250996,-47.43366070629685,39.70848867641706,250,-3,-84.9335117453406,-28.699240698132638
evt_m2,-25.532116315202302,13.2236638769239,-1.9307898743371268,0.05350904306447173,permutation,0.07171314741035857,-25.54261886159681,24.45592043895408,250,-2,-51.45049751397315,0.3862648835685434
evt_p0,-12.513468341681914,15.449538112065621,-0.8099574402104147,0.417964636884402,permutation,0.6573705179282868,-61.501421930108236,82.31744221973065,250,0,-42.794563041330534,17.7676263579667
evt_p1,43.52084808551899,20.209414595547155,2.153493753109908,0.03127989451988607,permutation,0.2908366533864542,-77.50955953224593,83.49780044346562,250,1,3.9103954782465706,83.13130069279141
evt_p2,1.042972269178108,25.797528024131218,0.04042915539048948,0.9677509866048383,permutation,0.952191235059761,-58.04124617829052,73.72834959057263,250,2,-49.520182658119076,51.60612719647529
evt_p3,-33.53509828215613,37.40537162960726,-0.8965316162134394,0.3699689023470737,permutation,0.5378486055776892,-81.85877827408956,103.82243648189126,250,3,-106.84962667618636,39.779430111874106
evt_p4,-47.93091569780756,44.04931731946417,-1.088119376520467,0.276542410759979,permutation,0.545816733067729,-99.63801912573848,115.6891313988977,250,4,-134.26757764395734,38.40574624834221
