term,coef,std_err,t,p_value,infer_method,p_value_resampled,ci_low_resampled,ci_high_resampled,resample_count,event_time,ci_low,ci_high
evt_m4,0.7155844155843845,0.4266268252888088,1.6773075980394887,0.09348234756527696,permutation,0.7377049180327869,-3.445454545454556,1.4012987012987175,60,-4,-0.12060416198168078,1.5517729931504496
evt_m3,1.8999999999999844,0.4627711171516604,4.105701349069527,4.0308999443156187e-05,permutation,0.19672131147540983,-3.6636363636363924,2.0090909090908795,60,-3,0.99296861038273,2.8070313896172387
evt_m2,0.25454545454545396,0.3709874888038993,0.6861294847600762,0.49263145941655706,permutation,1.0,-1.0545454545454938,1.5636363636363697,60,-2,-0.47259002351018864,0.9816809326010966
evt_p0,-2.786001084664682e-16,4.1822727751908694e-17,-6.661452359566709,2.711346914436959e-11,permutation,0.47540983606557374,-4.278068016737188e-16,6.792619668937489e-16,60,0,-3.6057265486020924e-16,-1.966275620727272e-16
evt_p1,-0.636363636363626,0.48763482767095406,-1.3050003819518632,0.19189271772867722,permutation,0.4918032786885246,-2.2727272727273196,1.9818181818181948,60,1,-1.592127898598696,0.3194006258714439
evt_p2,-1.1272727272727465,0.6266144255204584,-1.7989894285252805,0.07202035297329755,permutation,0.5573770491803278,-2.327272727272778,2.8000000000000114,60,2,-2.355437001292845,0.1008915467473519
evt_p3,-1.6272727272727359,0.6344440405613637,-2.5648798368929517,0.010321154197435518,permutation,0.2459016393442623,-1.9545454545454355,3.5000000000000213,60,3,-2.870783046773009,-0.38376240777246307
evt_p4,-2.0090909090909266,0.5451973489047683,-3.68507094380949,0.0002286389452037874,permutation,0.21311475409836064,-1.9000000000000006,2.4636363636363328,60,4,-3.0776777129442725,-0.9405041052375807
