metric,value
total_unit_rows,533205
submission_years,"2022, 2023, 2024, 2025, 2026"
unique_blocks,4277
neighborhoods,41
supervisor_districts,11
median_rent_midpoint,2375.5
nonowner_occupied_rows,468062
