surface,total_rows,matched_rows,matched_unique_addresses,match_rate,stock_share
commission_appeals,34,14,10,0.4117647058823529,0.0016781339150864238
buyouts,206,71,34,0.3446601941747573,0.005705655311293841
seismic,851,705,688,0.8284371327849589,0.32685009487666034
