term,coef,std_err,p_value,base_term,state_abbr,event_time,ci_low,ci_high
evt_m4_CA,11.617142857142959,6.397085028920014,0.06936949821635315,evt_m4,CA,-4,-0.9211437995402676,24.155429513826185
evt_m3_CA,16.083409090908653,6.784462016491517,0.017758081792230807,evt_m3,CA,-3,2.7858635385852804,29.380954643232023
evt_m2_CA,9.379090909090795,5.903343676873216,0.11211096756464439,evt_m2,CA,-2,-2.1914626975807074,20.949644515762298
evt_p0_CA,-8.436590909091132,6.601384037728531,0.20124824538276576,evt_p0,CA,0,-21.375303623039052,4.502121804856788
evt_p1_CA,-24.78886363636419,14.800717872918215,0.09396523969728435,evt_p1,CA,1,-53.79827066728389,4.220543394555509
evt_p2_CA,-52.837045454545525,18.41611745289303,0.004116866598179131,evt_p2,CA,2,-88.93263566221586,-16.74145524687519
evt_p3_CA,-61.28681818181838,14.889980373307052,3.8554259256675634e-05,evt_p3,CA,3,-90.4711797135002,-32.10245665013656
evt_p4_CA,-70.02931818181861,11.443218846135604,9.373874796842471e-10,evt_p4,CA,4,-92.4580271202444,-47.600609243392825
evt_m4_OR,-45.32311372655052,7.640730231079557,2.996720562140902e-09,evt_m4,OR,-4,-60.29894497946645,-30.347282473634586
evt_m3_OR,-11.864954004329137,8.086453673382858,0.14230453389353426,evt_m3,OR,-3,-27.714403204159538,3.984495195501264
evt_m2_OR,-3.6806818181817818,7.263671398344505,0.6123479867765719,evt_m2,OR,-2,-17.91747775893701,10.55611412257345
evt_p0_OR,-1.0490909090907967,5.903343676873214,0.8589497064140805,evt_p0,OR,0,-12.619644515762296,10.521462697580702
evt_p1_OR,4.84431818181871,7.0929731807958305,0.49462310114001296,evt_p1,OR,1,-9.05790925254112,18.746545616178537
evt_p2_OR,15.172045454545596,15.026418298571128,0.3126431600133157,evt_p2,OR,2,-14.279734410653816,44.62382531974501
evt_p3_OR,6.241363636363794,18.597993960872873,0.7371775175134477,evt_p3,OR,3,-30.21070452694704,42.69343179967463
evt_p4_OR,-9.885909090909166,10.075017957973795,0.32647937141388517,evt_p4,OR,4,-29.632944288537804,9.861126106719471
