term,coef,std_err,t,p_value,infer_method,p_value_resampled,ci_low_resampled,ci_high_resampled,resample_count,event_time,ci_low,ci_high
evt_m4,0.06255870196378416,0.016670964799442346,3.7525543792088616,0.00017504184608639717,permutation,0.2786885245901639,-0.09651214795838665,0.08862510569054904,60,-4,0.02988361095687716,0.09523379297069115
evt_m3,0.04933943517814151,0.015909977958898508,3.1011630126455194,0.0019276214059042675,permutation,0.18032786885245902,-0.060358297241751235,0.05874446065373856,60,-3,0.018155878378700436,0.08052299197758259
evt_m2,0.036744924329488726,0.015524854102591586,2.366845065768112,0.017940441405918564,permutation,0.36065573770491804,-0.07919697626567496,0.11489406008794935,60,-2,0.006316210288409219,0.06717363837056824
evt_p0,0.010011092356360461,0.018994271186034084,0.5270585145547104,0.5981529545125859,permutation,0.9180327868852459,-0.0406059154309416,0.09328635295719101,60,0,-0.02721767916826634,0.04723986388098726
evt_p1,-0.024675764921300664,0.017752819411259235,-1.38996315738168,0.164540065330267,permutation,0.5081967213114754,-0.06853946741989937,0.11259043283706832,60,1,-0.059471290967368765,0.010119761124767437
evt_p2,-0.07656905858660018,0.017858620599942993,-4.287512473771048,1.8068511414426822e-05,permutation,0.21311475409836064,-0.06676198911702116,0.12697735305672897,60,2,-0.11157195496248845,-0.04156616221071192
evt_p3,-0.043942292988490145,0.018401435638325626,-2.3879817777352788,0.016941181745865185,permutation,0.5737704918032787,-0.11455578862277153,0.10283587363308345,60,3,-0.08000910683960838,-0.007875479137371917
evt_p4,-0.03327649679768453,0.016485335596828854,-2.018551372656657,0.04353386953820161,permutation,0.639344262295082,-0.09234813061006963,0.14422886248549016,60,4,-0.06558775456746908,-0.0009652390278999806
