normalized_parcel,address,seismic_rows,rso_unit_count
5554-015-006,8208   Norton Ave,1,9.0
5554-015-017,1114   Sweetzer Ave   A,1,9.0
5554-015-020,8264   Norton Ave,1,8.0
5554-015-022,8258   Norton Ave,1,6.0
5554-016-010,1223   Havenhurst Dr,1,5.0
5554-016-012,1209   Havenhurst Dr   1209-1,1,15.0
5554-016-015,8219   Norton Ave,1,10.0
5554-016-017,8227   Norton Ave,1,8.0
5554-016-019,1220   Harper Ave,1,10.0
5554-016-020,1222   Harper Ave,1,9.0
5554-016-021,1226   Harper Ave,1,12.0
5554-016-022,1234   Harper Ave   A,1,16.0
5554-016-027,1264   Harper Ave,1,14.0
5554-017-004,1331   Havenhurst Dr,1,16.0
5554-017-008,8225   Fountain Ave,1,7.0
5554-017-010,1312   Harper Ave,1,9.0
5554-018-011,1429   Havenhurst Dr,1,18.0
5554-018-012,1415   Havenhurst Dr,1,14.0
5554-019-005,8261   Fountain Ave,1,10.0
5554-019-006,8259   Fountain Ave,1,12.0
5554-019-008,8200   De Longpre Ave,1,10.0
5554-019-009,8206   De Longpre Ave,1,10.0
5554-019-010,8210   De Longpre Ave,1,6.0
5554-019-011,8218   De Longpre Ave,1,15.0
5554-019-012,8222   De Longpre Ave,1,10.0
5554-019-015,8231   De Longpre Ave,1,12.0
5554-019-019,1411   Harper Ave,1,11.0
5554-019-020,1415   Harper Ave,1,10.0
5554-019-021,1425   Harper Ave,1,12.0
5554-020-002,1279   Harper Ave,1,10.0
5554-020-008,1241   Harper Ave,1,21.0
5554-020-009,1233   Harper Ave,1,29.0
5554-020-010,1227   Harper Ave,1,21.0
5554-020-014,8261   Norton Ave,1,8.0
5554-020-015,8267   Norton Ave,1,11.0
5554-020-023,1236   Sweetzer Ave,1,21.0
5554-020-027,1262   Sweetzer Ave,1,11.0
5554-020-028,1264   Sweetzer Ave,1,15.0
5554-020-029,1268   Sweetzer Ave,1,8.0
5554-021-005,1114   Flores St,1,10.0
5554-021-017,1121   Sweetzer Ave,1,8.0
5554-022-003,1266   Flores St,1,5.0
5554-022-004,1260   Flores St,1,5.0
5554-022-005,1256   Flores St,1,13.0
5554-022-007,1240   Flores St,1,8.0
5554-022-012,1275   Sweetzer Ave,1,28.0
5554-022-013,1265   Sweetzer Ave,1,16.0
5554-022-014,1257   Sweetzer Ave,1,3.0
5554-022-016,1247   Sweetzer Ave,1,10.0
5554-022-019,1221   Sweetzer Ave,1,18.0
5554-022-020,1233   Sweetzer Ave   A-1,1,21.0
5554-023-005,1317   Sweetzer Ave,1,10.0
5554-023-008,1326   Flores St,1,30.0
5554-023-009,8336   De Longpre Ave,1,11.0
5554-023-019,1301   Flores St,1,6.0
5554-024-001,1310   Olive Dr,1,17.0
5554-025-001,1264   Kings Rd,1,17.0
5554-025-016,1114   Kings Rd,1,12.0
5554-025-019,1267   Flores St,1,11.0
5554-025-020,1255   Flores St,1,18.0
5554-025-021,1251   Flores St,1,12.0
5554-025-025,1229   Flores St,1,9.0
5554-025-026,1223   Flores St,1,8.0
5554-025-027,1221   Flores St,1,9.0
5554-025-029,1207   Flores St,1,23.0
5554-025-032,1115   Flores St,1,10.0
5554-025-033,1111   Flores St,1,10.0
5554-026-003,8410   Fountain Ave,1,4.0
5554-026-016,1121   Kings Rd,1,12.0
5554-026-029,1208   Olive Dr,1,8.0
5555-003-022,8450   Fountain Ave,1,20.0
5555-003-025,1160   Hacienda Pl,1,5.0
5555-004-018,1127   Hacienda Pl,1,10.0
5555-004-038,1147   Hacienda Pl,1,10.0
5555-007-009,8497   Sunset Blvd,1,31.0
5559-001-010,1105   Alta Loma Rd,1,12.0
5559-001-012,8563   Holloway Dr,1,11.0
5559-001-013,8569   Holloway Dr,1,11.0
5559-001-014,8575   Holloway Dr,1,11.0
5559-003-008,8770   Shoreham Dr,1,13.0
5559-005-003,8741   Shoreham Dr,1,15.0
5560-021-016,1300   Larrabee St,1,10.0
5560-022-005,1128   Larrabee St,1,6.0
5560-022-012,1200   Larrabee St,1,12.0
5560-022-013,1204   Larrabee St,1,5.0
5560-022-014,1210   Larrabee St,1,8.0
5560-022-015,1218   Larrabee St,1,10.0
5560-022-016,1220   Larrabee St,1,8.0
5560-022-017,1226   Larrabee St,1,8.0
5560-022-025,1151   Horn Ave,1,11.0
5560-022-026,1207   Horn Ave,1,10.0
5560-022-029,1221   Horn Ave,1,11.0
5560-022-034,1225   Horn Ave,1,3.0
5560-023-002,1111   Larrabee St,1,21.0
5560-023-016,1219   Larrabee St,1,6.0
5560-023-020,1239   Larrabee St,1,11.0
5560-023-021,1300   Ozeta Ter,1,8.0
5560-023-023,1114   Clark St,1,18.0
5560-023-025,1124   Clark St,1,11.0
5560-023-029,1148   Clark St,1,8.0
5560-023-033,1212   Clark St,1,8.0
5560-023-034,1214   Clark St,1,12.0
5560-023-037,1270   Ozeta Ter,1,12.0
5560-024-026,1137   Clark St,1,6.0
5560-024-031,1117   Clark St,1,5.0
