group,properties,mean_units,mean_year_built,mean_total_cases,mean_complaint_cases,mean_scep_cases
not_rso_eligible_proxy,148,,,15.777027027027026,10.83108108108108,3.4594594594594597
rso_eligible_proxy,2,7.5,1918.5,16.0,11.0,4.5
