term,coef,std_err,p_value,base_term,state_abbr,event_time,ci_low,ci_high
evt_m4_CA,-11247.909090909277,6022.643362339683,0.0618173751673611,evt_m4,CA,-4,-23052.290081095056,556.4718992765011
evt_m3_CA,12639.000000000007,3162.400522349811,6.424586937620989e-05,evt_m3,CA,-3,6440.694976194378,18837.30502380564
evt_m2_CA,6410.999999999825,3246.5041859607786,0.04829771973996972,evt_m2,CA,-2,47.851795516698985,12774.148204482952
evt_p0_CA,-10566.090909091083,5355.898370544828,0.04851889363185913,evt_p0,CA,0,-21063.651715358945,-68.53010282322066
evt_p1_CA,-11626.000000000648,9413.681936212046,0.21682643961823211,evt_p1,CA,1,-30076.81659497626,6824.816594974964
evt_p2_CA,-7814.000000000524,9405.43371811599,0.40608868516037633,evt_p2,CA,2,-26248.650087507864,10620.650087506816
evt_p3_CA,-9044.026515151789,7112.157854182763,0.203504951163189,evt_p3,CA,3,-22983.855909350004,4895.802879046427
evt_p4_CA,-15927.609848485143,5858.679854636183,0.00655519759957391,evt_p4,CA,4,-27410.62236357206,-4444.597333398224
evt_m4_OR,17412.243686868656,4193.632711094186,3.2948586524333954e-05,evt_m4,OR,-4,9192.723573124053,25631.763800613262
evt_m3_OR,6566.174242424095,2949.140991983587,0.025982709517376044,evt_m3,OR,-3,785.8578981362643,12346.490586711925
evt_m2_OR,4870.999999999589,2166.377404104892,0.02454725338969642,evt_m2,OR,-2,624.9002879540012,9117.099712045176
evt_p0_OR,-1201.0000000002547,3246.504185960779,0.7114298954299795,evt_p0,OR,0,-7564.148204483382,5162.148204482873
evt_p1_OR,-11017.090909091326,4835.08648825048,0.022692541879532385,evt_p1,OR,1,-20493.860426062267,-1540.321392120386
evt_p2_OR,-22186.999999999887,9127.42140965459,0.015065236420263447,evt_p2,OR,2,-40076.74596292288,-4297.254037076891
evt_p3_OR,-21313.99999999996,9118.914267561104,0.019421529755345467,evt_p3,OR,3,-39187.07196441972,-3440.9280355801966
evt_p4_OR,-16020.31818181829,4624.918544943409,0.0005323775024893202,evt_p4,OR,4,-25085.15852990737,-6955.477833729208
