outcome,display_name,frequency,sample_start_period,sample_end_period,sample_rows,treated_states,donor_pool,preferred_treatment_timing,alternative_treatment_timing,limitations
index_sa,FHFA HPI (seasonally adjusted),quarterly,2010Q1,2025Q4,832,"CA, OR","AZ, CO, FL, GA, ID, NC, NV, TN, TX, UT, VA",OR: 2019Q2; CA: 2020Q1,OR: 2019Q1; CA: 2020Q1,WA excluded from causal baseline. QCEW starts in 2014. Quarterly timing sensitivity has been run.
qcew_total_covered_emplvl,QCEW total covered employment,quarterly,2014Q1,2024Q4,572,"CA, OR","AZ, CO, FL, GA, ID, NC, NV, TN, TX, UT, VA",OR: 2019Q2; CA: 2020Q1,OR: 2019Q1; CA: 2020Q1,WA excluded from causal baseline. QCEW starts in 2014. Quarterly timing sensitivity has been run.
qcew_total_covered_avg_weekly_wage,QCEW average weekly wage,quarterly,2014Q1,2024Q4,572,"CA, OR","AZ, CO, FL, GA, ID, NC, NV, TN, TX, UT, VA",OR: 2019Q2; CA: 2020Q1,OR: 2019Q1; CA: 2020Q1,WA excluded from causal baseline. QCEW starts in 2014. Quarterly timing sensitivity has been run.
