dimension,category,rsbl_buildings,hpd_observed_buildings,mdr_registered_buildings,pluto_enriched_buildings,stratified_eligible_buildings,refined_cb_matched_buildings,within_block_matched_buildings,hpd_observed_share,mdr_registered_share,pluto_enriched_share,stratified_eligible_share,refined_cb_matched_share,within_block_matched_share
communityboard,,14305,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
communityboard,4,3613,3613,3613,3613,3601,3284,2130,1.0,1.0,1.0,0.9966786603930252,0.9089399391087739,0.5895377802380294
communityboard,7,3564,3564,3564,3564,3541,3007,1771,1.0,1.0,1.0,0.9935465768799102,0.8437149270482603,0.49691358024691357
communityboard,3,3507,3507,3507,3507,3488,3265,2068,1.0,1.0,1.0,0.9945822640433419,0.9309951525520388,0.5896777872825777
communityboard,1,3448,3448,3448,3448,3442,3200,1801,1.0,1.0,1.0,0.9982598607888631,0.9280742459396751,0.5223317865429234
communityboard,8,2918,2918,2918,2918,2902,2599,1716,1.0,1.0,1.0,0.9945167923235092,0.8906785469499657,0.5880740233036327
communityboard,5,2452,2452,2452,2452,2440,2188,1332,1.0,1.0,1.0,0.9951060358890701,0.8923327895595432,0.5432300163132137
communityboard,2,2370,2370,2370,2370,2359,2063,1273,1.0,1.0,1.0,0.9953586497890295,0.8704641350210971,0.5371308016877637
communityboard,6,2262,2262,2262,2262,2255,2073,1063,1.0,1.0,1.0,0.9969053934571176,0.916445623342175,0.46993810786914236
communityboard,12,2259,2259,2259,2259,2247,1857,983,1.0,1.0,1.0,0.9946879150066401,0.8220451527224436,0.4351482957060646
communityboard,9,2007,2007,2007,2007,1999,1604,972,1.0,1.0,1.0,0.9960139511709019,0.7992027902341804,0.484304932735426
communityboard,10,1336,1336,1336,1336,1326,1142,857,1.0,1.0,1.0,0.9925149700598802,0.8547904191616766,0.6414670658682635
communityboard,11,1194,1194,1194,1194,1191,921,565,1.0,1.0,1.0,0.9974874371859297,0.7713567839195979,0.4731993299832496
communityboard,14,777,777,777,777,775,529,180,1.0,1.0,1.0,0.9974259974259975,0.6808236808236808,0.23166023166023167
communityboard,17,707,707,707,707,707,585,297,1.0,1.0,1.0,1.0,0.8274398868458275,0.4200848656294201
communityboard,16,435,435,435,435,429,401,252,1.0,1.0,1.0,0.9862068965517241,0.9218390804597701,0.5793103448275863
communityboard,13,48,48,48,48,48,27,3,1.0,1.0,1.0,1.0,0.5625,0.0625
communityboard,408,7,7,0,7,5,0,1,1.0,0.0,1.0,0.7142857142857143,0.0,0.14285714285714285
communityboard,301,4,4,0,4,4,0,2,1.0,0.0,1.0,1.0,0.0,0.5
communityboard,303,4,4,0,4,3,0,2,1.0,0.0,1.0,0.75,0.0,0.5
communityboard,404,4,4,0,4,3,0,2,1.0,0.0,1.0,0.75,0.0,0.5
communityboard,203,3,3,0,3,2,0,1,1.0,0.0,1.0,0.6666666666666666,0.0,0.3333333333333333
communityboard,302,3,3,0,3,3,0,1,1.0,0.0,1.0,1.0,0.0,0.3333333333333333
communityboard,304,3,3,0,3,3,0,2,1.0,0.0,1.0,1.0,0.0,0.6666666666666666
communityboard,411,3,3,0,3,2,0,2,1.0,0.0,1.0,0.6666666666666666,0.0,0.6666666666666666
communityboard,104,2,2,0,2,2,0,2,1.0,0.0,1.0,1.0,0.0,1.0
communityboard,111,2,2,0,2,2,0,0,1.0,0.0,1.0,1.0,0.0,0.0
communityboard,401,2,2,0,2,2,0,0,1.0,0.0,1.0,1.0,0.0,0.0
communityboard,403,2,2,0,2,1,0,2,1.0,0.0,1.0,0.5,0.0,1.0
communityboard,501,2,2,0,2,1,0,2,1.0,0.0,1.0,0.5,0.0,1.0
communityboard,106,1,1,0,1,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0
communityboard,110,1,1,0,1,1,0,1,1.0,0.0,1.0,1.0,0.0,1.0
communityboard,205,1,1,0,1,1,0,0,1.0,0.0,1.0,1.0,0.0,0.0
communityboard,212,1,1,0,1,1,0,1,1.0,0.0,1.0,1.0,0.0,1.0
communityboard,305,1,1,0,1,1,0,0,1.0,0.0,1.0,1.0,0.0,0.0
communityboard,306,1,1,0,1,1,0,1,1.0,0.0,1.0,1.0,0.0,1.0
communityboard,314,1,1,0,1,0,0,1,1.0,0.0,1.0,0.0,0.0,1.0
communityboard,316,1,1,0,1,1,0,0,1.0,0.0,1.0,1.0,0.0,0.0
communityboard,32,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,0.0,0.0
communityboard,407,1,1,0,1,1,0,1,1.0,0.0,1.0,1.0,0.0,1.0
communityboard,412,1,1,0,1,0,0,1,1.0,0.0,1.0,0.0,0.0,1.0
communityboard,51,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,0.0,0.0
communityboard,82,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
