submission_year,unit_rows,unique_blocks,unique_neighborhoods,nonowner_rows,owner_rows,unit_row_growth,block_growth,nonowner_share
2022,66744,1226,37,59239,853,,,0.8875554356945943
2023,107886,3753,38,93577,6047,41142.0,2527.0,0.8673692601449678
2024,111512,3809,40,95768,6935,3626.0,56.0,0.8588134012482962
2025,132088,3854,41,116179,7349,20576.0,45.0,0.8795575676821513
2026,114975,3764,41,103299,5978,-17113.0,-90.0,0.8984474885844749
