outcome,check_name,spec_group,treated_states,donor_pool,sample_rows,sample_start_year,sample_end_year,status,notes
permits_units_5plus,baseline,pooled,"CA,OR","AZ,CO,FL,GA,ID,NC,NV,TN,TX,UT,VA",195,2010,2024,ok,Baseline pooled TWFE event study with donor states retained and pre-trend coefficients exported.
permits_units_5plus,placebo_2y_early,pooled,"CA,OR","AZ,CO,FL,GA,ID,NC,NV,TN,TX,UT,VA",195,2010,2024,ok,Placebo treatment years shifted two years earlier than the preferred annual treatment year.
permits_units_5plus,donor_pool_west_only,donor_sensitivity,"CA,OR","AZ,CO,ID,NV,UT",105,2010,2024,ok,Restricts the donor pool to western donor states only.
permits_units_5plus,leave_one_donor_out_AZ,donor_sensitivity,"CA,OR","CO,FL,GA,ID,NC,NV,TN,TX,UT,VA",180,2010,2024,ok,Baseline donor pool excluding AZ.
permits_units_5plus,leave_one_donor_out_CO,donor_sensitivity,"CA,OR","AZ,FL,GA,ID,NC,NV,TN,TX,UT,VA",180,2010,2024,ok,Baseline donor pool excluding CO.
permits_units_5plus,leave_one_donor_out_FL,donor_sensitivity,"CA,OR","AZ,CO,GA,ID,NC,NV,TN,TX,UT,VA",180,2010,2024,ok,Baseline donor pool excluding FL.
permits_units_5plus,ca_only,single_treated,CA,"AZ,CO,FL,GA,ID,NC,NV,TN,TX,UT,VA",180,2010,2024,ok,Single-treated-state run for CA with the full donor pool.
permits_units_5plus,or_only,single_treated,OR,"AZ,CO,FL,GA,ID,NC,NV,TN,TX,UT,VA",180,2010,2024,ok,Single-treated-state run for OR with the full donor pool.
permits_units_5plus,state_specific_interactions,interaction,"CA,OR","AZ,CO,FL,GA,ID,NC,NV,TN,TX,UT,VA",195,2010,2024,ok,Pooled model with separate event-time interactions for CA and OR.
permits_units_total,baseline,pooled,"CA,OR","AZ,CO,FL,GA,ID,NC,NV,TN,TX,UT,VA",195,2010,2024,ok,Baseline pooled TWFE event study with donor states retained and pre-trend coefficients exported.
permits_units_total,placebo_2y_early,pooled,"CA,OR","AZ,CO,FL,GA,ID,NC,NV,TN,TX,UT,VA",195,2010,2024,ok,Placebo treatment years shifted two years earlier than the preferred annual treatment year.
permits_units_total,donor_pool_west_only,donor_sensitivity,"CA,OR","AZ,CO,ID,NV,UT",105,2010,2024,ok,Restricts the donor pool to western donor states only.
permits_units_total,leave_one_donor_out_AZ,donor_sensitivity,"CA,OR","CO,FL,GA,ID,NC,NV,TN,TX,UT,VA",180,2010,2024,ok,Baseline donor pool excluding AZ.
permits_units_total,leave_one_donor_out_CO,donor_sensitivity,"CA,OR","AZ,FL,GA,ID,NC,NV,TN,TX,UT,VA",180,2010,2024,ok,Baseline donor pool excluding CO.
permits_units_total,leave_one_donor_out_FL,donor_sensitivity,"CA,OR","AZ,CO,GA,ID,NC,NV,TN,TX,UT,VA",180,2010,2024,ok,Baseline donor pool excluding FL.
permits_units_total,ca_only,single_treated,CA,"AZ,CO,FL,GA,ID,NC,NV,TN,TX,UT,VA",180,2010,2024,ok,Single-treated-state run for CA with the full donor pool.
permits_units_total,or_only,single_treated,OR,"AZ,CO,FL,GA,ID,NC,NV,TN,TX,UT,VA",180,2010,2024,ok,Single-treated-state run for OR with the full donor pool.
permits_units_total,state_specific_interactions,interaction,"CA,OR","AZ,CO,FL,GA,ID,NC,NV,TN,TX,UT,VA",195,2010,2024,ok,Pooled model with separate event-time interactions for CA and OR.
permits_units_multifamily_share,baseline,pooled,"CA,OR","AZ,CO,FL,GA,ID,NC,NV,TN,TX,UT,VA",195,2010,2024,ok,Baseline pooled TWFE event study with donor states retained and pre-trend coefficients exported.
permits_units_multifamily_share,placebo_2y_early,pooled,"CA,OR","AZ,CO,FL,GA,ID,NC,NV,TN,TX,UT,VA",195,2010,2024,ok,Placebo treatment years shifted two years earlier than the preferred annual treatment year.
