term,coef,std_err,t,p_value,infer_method,p_value_resampled,ci_low_resampled,ci_high_resampled,resample_count,event_time,ci_low,ci_high
evt_m8,-432378.9712696038,218261.29271527662,-1.9810153504114227,0.04758955215735559,permutation,0.06557377049180328,-432378.9712696038,309861.13698605413,60,-8,-860171.1049915459,-4586.837547661678
evt_m7,-102112.22948735952,212043.1233988853,-0.4815635039259015,0.6301160575478405,permutation,0.5737704918032787,-206090.1571055234,144952.06679869158,60,-7,-517716.7513491747,313492.29237445566
evt_m6,-135086.4450992411,220830.54301124968,-0.611719933561724,0.5407230711009239,permutation,0.14754098360655737,-151060.60674690641,114957.03958792638,60,-6,-567914.3094012905,297741.4192028083
evt_m5,-43221.57131960764,244099.41779165695,-0.17706544206712527,0.8594569862133112,permutation,0.7377049180327869,-104002.88747933866,83666.39499994484,60,-5,-521656.4301912553,435213.28755203995
evt_m4,-149014.68396990653,212362.4383099179,-0.7016998163886082,0.4828663875530502,permutation,0.06557377049180328,-149014.68396990653,72056.33731642706,60,-4,-565245.0630573456,267215.6951175325
evt_m3,-38489.85865489021,248079.38052156253,-0.15515138168262538,0.8767019758499736,permutation,0.5573770491803278,-127495.48335788469,57148.923732279865,60,-3,-524725.4444771528,447745.72716737236
evt_m2,-105617.55461056903,245869.2103037131,-0.4295680393657408,0.6675098902800477,permutation,0.14754098360655737,-110160.22240224543,86798.86744326552,60,-2,-587521.2068058467,376286.09758470865
evt_p0,-101965.97682761494,246523.65653282157,-0.4136153838608971,0.6791558049626298,permutation,0.09836065573770492,-101965.97682761494,87634.9841241208,60,0,-585152.3436319452,381220.3899767153
evt_p1,-999703.8868770488,526198.5587360042,-1.8998605569701,0.057451421392330566,permutation,0.06557377049180328,-999703.8868770488,290253.7873606355,60,1,-2031053.061999617,31645.28824551939
evt_p2,-847105.7969061527,392612.23386392405,-2.1576143681751705,0.030957826652434763,permutation,0.04918032786885246,-819167.1609636894,252701.89615349748,60,2,-1616625.7752794437,-77585.81853286165
evt_p3,-618467.7327505344,278726.43525114306,-2.2189059038955943,0.026493126781930016,permutation,0.04918032786885246,-589928.4597792659,152575.99962535576,60,3,-1164771.5458427747,-72163.91965829406
evt_p4,-573846.5446482534,412181.45559792704,-1.3922182496439788,0.16385631807571444,permutation,0.09836065573770492,-759603.5550812385,356991.2123815938,60,4,-1381722.1976201902,234029.1083236836
evt_p5,-358595.2732900521,254120.58184200682,-1.4111225099940934,0.15820849374587098,permutation,0.09836065573770492,-572855.8724641459,251245.4613175563,60,5,-856671.6137003854,139481.06712028128
evt_p6,-309107.4233946726,206468.2968728204,-1.4971180954966439,0.13436253205101015,permutation,0.09836065573770492,-373295.7793003842,166714.20482710723,60,6,-713785.2852654005,95570.43847605545
evt_p7,-107512.66555707296,232063.0909322445,-0.463290672916459,0.6431560304122939,permutation,0.39344262295081966,-344909.0741528257,177670.68215404925,60,7,-562356.3237842722,347330.99267012626
evt_p8,-201138.57626442146,221191.1830229185,-0.9093426488142644,0.36316928476116817,permutation,0.22950819672131148,-205640.18267018092,351577.8306743782,60,8,-634673.2949893416,232396.14246049878
