group,properties,mean_total_units,mean_year_built,mean_total_cases,mean_complaint_cases,mean_scep_cases
not_registered,66,65.227,1959.525,20.196969696969695,15.409090909090908,2.787878787878788
registered,84,10.321,1930.918,12.30952380952381,7.238095238095238,4.011904761904762
