term,coef,std_err,t,p_value,infer_method,p_value_resampled,ci_low_resampled,ci_high_resampled,resample_count,event_time,ci_low,ci_high
evt_m4,-7615.385105833581,4904.791749345903,-1.5526418847138943,0.12050871337478337,permutation,0.14754098360655737,-12222.01479851837,5567.828476017166,60,-4,-17228.77693455155,1998.0067228843882
evt_m3,-1065.6332169370198,4673.76248990883,-0.2280032884079668,0.8196436840713128,permutation,0.6721311475409836,-6836.772129503001,7374.370257791087,60,-3,-10226.207697158326,8094.941263284287
evt_m2,-2835.0578127036897,4787.467734406153,-0.5921831686360923,0.5537279390208034,permutation,0.22950819672131148,-3562.136980059071,5594.751289801809,60,-2,-12218.494572139749,6548.3789467323695
evt_p0,-1959.1878993447644,4392.142739475406,-0.4460665364392889,0.6555491842279706,permutation,0.4426229508196721,-3330.8447929186136,5895.571429504466,60,0,-10567.78766871656,6649.411870027032
evt_p1,-5463.755296322895,4213.961641819105,-1.2965840130344122,0.19477435609527793,permutation,0.22950819672131148,-6071.041982883715,10384.004585241795,60,1,-13723.120114288342,2795.609521642551
evt_p2,-7194.184924454008,4177.580293919984,-1.7220937524347206,0.08505253667093961,permutation,0.13114754098360656,-8594.711854852056,9354.236561794796,60,2,-15382.242300537177,993.8724516291604
evt_p3,-8009.928602621483,4257.906194618253,-1.881189541645039,0.059946139882784244,permutation,0.21311475409836064,-9335.589745181927,11761.302927715187,60,3,-16355.424744073258,335.5675388302916
evt_p4,-12590.347250510426,4471.009777396739,-2.8159963581741927,0.004862621788617042,permutation,0.06557377049180328,-9844.682875110377,11644.255602729629,60,4,-21353.526414208034,-3827.168086812817
