term,coef,std_err,t,p_value,infer_method,p_value_resampled,ci_low_resampled,ci_high_resampled,resample_count,event_time,ci_low,ci_high
evt_m4,0.23816011216711797,0.6164558824288925,0.38633764224739875,0.6992466259410379,permutation,0.7540983606557377,-1.1009287932950036,1.8682579596560978,60,-4,-0.9700934173935112,1.4464136417277471
evt_m3,-0.21501992483526156,0.7808666168298709,-0.275360631637949,0.7830391867591033,permutation,0.7213114754098361,-0.8210934039018865,1.5640331024223328,60,-3,-1.7455184938218085,1.3154786441512853
evt_m2,-0.47254632932194834,0.5881153324745398,-0.8034926199486653,0.42169006066618153,permutation,0.29508196721311475,-0.7632049876387303,1.321903942769307,60,-2,-1.6252523809720463,0.6801597223281497
evt_p0,-0.6013616917865967,0.6257826861797999,-0.9609752795458668,0.3365645975646586,permutation,0.13114754098360656,-0.6177732936562674,0.697443148446011,60,0,-1.8278957566990046,0.6251723731258112
evt_p1,-0.40658862398655593,0.7177593065248675,-0.5664693167896517,0.571074785400012,permutation,0.29508196721311475,-0.8210014427468264,0.48260128599062035,60,1,-1.8133968647752963,1.0002196168021844
evt_p2,-0.9306733049993081,0.57299069722177,-1.624238071423873,0.10432500846305445,permutation,0.14754098360655737,-1.0899931855488203,0.8445669201298577,60,2,-2.0537350715539775,0.19238846155536105
evt_p3,-0.48532474921692703,0.6202047973573884,-0.7825233717714413,0.4339070554664324,permutation,0.6065573770491803,-1.2239590869389214,1.3819578396501122,60,3,-1.7009261520374084,0.7302766536035543
evt_p4,-0.7592960477166244,0.5812064712422044,-1.3064136159630013,0.19141193795974865,permutation,0.21311475409836064,-1.2945261877504617,0.9244350074646719,60,4,-1.8984607313513449,0.37986863591809605
