term,coef,std_err,p_value,base_term,state_abbr,event_time,ci_low,ci_high
evt_m4_CA,-999587.3484848225,188779.31797779084,1.190134442910218e-07,evt_m4,CA,-4,-1369594.8117212926,-629579.8852483525
evt_m3_CA,-429261.73484847415,45280.40714543286,2.5409612038448376e-21,evt_m3,CA,-3,-518011.33285352256,-340512.13684342575
evt_m2_CA,-185626.2424242273,21756.955228078314,1.4407358304721044e-17,evt_m2,CA,-2,-228269.8746712608,-142982.6101771938
evt_p0_CA,-1068763.234848491,43993.49978525249,2.287248897408821e-130,evt_p0,CA,0,-1154990.4944275857,-982535.9752693961
evt_p1_CA,-639146.1666666705,17769.0694522956,2.5007585657408857e-283,evt_p1,CA,1,-673973.5427931699,-604318.7905401711
evt_p2_CA,73994.27272726968,76833.99864590299,0.3355270668983531,evt_p2,CA,2,-76600.36461870017,224588.91007323953
evt_p3_CA,39725.26041668176,116206.82606078657,0.7324640582410156,evt_p3,CA,3,-188040.1186624599,267490.6394958234
evt_p4_CA,157309.65625001432,137570.45143327577,0.25283755479724257,evt_p4,CA,4,-112328.4285592062,426947.74105923483
evt_m4_OR,165975.4113005062,77357.96719239201,0.03190887263046044,evt_m4,OR,-4,14353.795603417879,317597.0269975945
evt_m3_OR,62563.85921718474,67486.87492166027,0.3538994066492477,evt_m3,OR,-3,-69710.41562926938,194838.13406363886
evt_m2_OR,55120.75757575827,46916.70157784637,0.24004901182163352,evt_m2,OR,-2,-36835.97751682061,147077.49266833713
evt_p0_OR,-57344.090909081744,21756.95522807828,0.008397207109740887,evt_p0,OR,0,-99987.72315611517,-14700.458662048317
evt_p1_OR,10062.174242420937,45675.919684703986,0.82564145630449,evt_p1,OR,1,-79462.62833959887,99586.97682444075
evt_p2_OR,-112299.00757575827,21600.959351126738,2.0058218904885714e-07,evt_p2,OR,2,-154636.88790396668,-69961.12724754986
evt_p3_OR,-258093.2348484858,77809.54288265109,0.0009099388117652278,evt_p3,OR,3,-410599.9388984819,-105586.53079848966
evt_p4_OR,-382684.6325757683,98011.02375519433,9.441804085117187e-05,evt_p4,OR,4,-574786.2391359492,-190583.0260155874
