term,coef,std_err,t,p_value,infer_method,p_value_resampled,ci_low_resampled,ci_high_resampled,resample_count,event_time,ci_low,ci_high
evt_m4,-58.50541770820524,20.539770339877567,-2.848396877866648,0.004394009085497615,permutation,0.0199203187250996,-51.263339515080496,19.800750867933438,250,-4,-98.76336757436528,-18.24746784204521
evt_m3,-23.040388107148583,19.186526367274322,-1.2008629215159883,0.22980437929213948,permutation,0.0398406374501992,-23.040388107148583,16.024217063960023,250,-3,-60.645979787006254,14.565203572709084
evt_m2,-12.920171398820003,13.761114979012612,-0.9388898660119364,0.3477872927754797,permutation,0.03187250996015936,-12.825597351187412,11.484483240170562,250,-2,-39.891956757684724,14.051613960044715
evt_p0,40.963896863363374,24.527973112697644,1.6700889500794984,0.09490176605600575,permutation,0.03187250996015936,-18.5739696132833,40.87667709552995,250,0,-7.110930437524011,89.03872416425077
evt_p1,72.92725018525927,37.001736867007445,1.9709142424145167,0.04873368576631806,permutation,0.0199203187250996,-32.183929262679435,68.04515415404924,250,1,0.40384592592468493,145.45065444459385
evt_p2,34.083833047388,6.507220525504184,5.237848158641766,1.624596334307233e-07,permutation,0.09163346613545817,-30.706601654611937,76.91747951827087,250,2,21.329680817399797,46.8379852773762
evt_p3,32.62846841657809,12.814482127740137,2.546218262378754,0.010889707618720615,permutation,0.07569721115537849,-29.02420923297947,37.14426285160456,250,3,7.51208344620742,57.744853386948755
evt_p4,28.543134415022507,22.12970402025571,1.2898109431963696,0.19711630747601927,permutation,0.26693227091633465,-34.56155921470981,59.12253368779164,250,4,-14.83108546467868,71.9173542947237
