year,term,coef,std_err,t,p_value
2019,treated_x_2019,0.0,0.0,0.0,
2020,treated_x_2020,0.1815791663069173,0.03351603071645261,5.417681104397077,6.037698009880666e-08
2021,treated_x_2021,0.443533555538976,0.049076605465617186,9.037576077866945,1.60184227380247e-19
2022,treated_x_2022,0.3579827349676251,0.05179460481928756,6.911583478947937,4.792733586356149e-12
2023,treated_x_2023,1.013818225953981,0.056721203934157874,17.873707813586325,1.8900397992220278e-71
2024,treated_x_2024,2.142806275520818,0.08071689830031366,26.547183063803274,2.7679200916251616e-155
2025,treated_x_2025,4.197843796839309,0.12645416971447984,33.196562883751454,1.2067981395170501e-241
