term,coef,std_err,t,p_value,infer_method,p_value_resampled,ci_low_resampled,ci_high_resampled,resample_count,event_time,ci_low,ci_high
evt_m4,-10374.314261106985,8769.109416535985,-1.1830522084197117,0.2367884568661669,permutation,0.4918032786885246,-35919.649150014295,17356.643340805167,60,-4,-27561.768717517516,6813.140195303546
evt_m3,-1857.7225163345756,6250.309357639057,-0.2972208910050329,0.7662978734428739,permutation,0.7049180327868853,-11352.94323436851,6755.840915318725,60,-3,-14108.328857307128,10392.883824637976
evt_m2,-3583.629945890345,6235.497832171878,-0.5747143279243409,0.5654845157179729,permutation,0.22950819672131148,-5868.111330205541,6630.832572743581,60,-2,-15805.205696947225,8637.945805166535
evt_p0,-4844.973869076042,7624.496791787834,-0.6354483451674411,0.5251360458627362,permutation,0.22950819672131148,-4959.6838334521035,12190.519938172998,60,0,-19788.987580980196,10099.039842828111
evt_p1,-10613.976672792918,7347.70476649264,-1.4445295517581611,0.14859007321743828,permutation,0.16393442622950818,-9901.700613091354,16092.36515761327,60,1,-25015.478015118493,3787.524669532657
evt_p2,-16270.070092921844,6509.201150001703,-2.4995494405511782,0.012435134632956498,permutation,0.16393442622950818,-16570.148993624294,23898.97914670999,60,2,-29028.10434692518,-3512.0358389185058
evt_p3,-21269.30937229633,8509.688715305823,-2.499422726713917,0.012439582499727283,permutation,0.22950819672131148,-20940.564077718394,38362.38061271,60,3,-37948.29925429574,-4590.319490296919
evt_p4,-26818.9586571565,8092.881570707556,-3.313894862150038,0.0009200609594525886,permutation,0.19672131147540983,-23599.9310767777,38632.267780709895,60,4,-42681.00653574331,-10956.91077856969
