inspection_year,treated_rsbl,building_count,mean_violation_count,total_violation_count
2019,0,56307,0.7640968263270996,43024
2019,1,32793,1.3300704418625926,43617
2020,0,56307,0.4754826220540963,26773
2020,1,32793,1.2230354038971731,40107
2021,0,56307,1.2310014740618396,69314
2021,1,32793,2.2405086451376817,73473
2022,0,56307,1.568099881009466,88295
2022,1,32793,2.492056231512823,81722
2023,0,56307,1.5866766121441385,89341
2023,1,32793,3.1664684536333976,103838
2024,0,56307,1.94190775569645,109343
2024,1,32793,4.65068764675388,152510
2025,0,56307,2.5061182446232264,141112
2025,1,32793,7.269935656999969,238403
