borough,pre_mean_gap,post_mean_gap,change_in_gap,gap_direction
BRONX,1.529579170974764,6.354777527619867,4.825198356645103,increase
STATEN ISLAND,0.6089719571083952,3.426042451658535,2.8170704945501397,increase
QUEENS,0.6802767951495566,2.3290355010995913,1.6487587059500348,increase
MANHATTAN,0.6779790149233685,1.8505302577861722,1.1725512428628035,increase
BROOKLYN,0.9453128261670356,2.0776662290413483,1.1323534028743127,increase
