treated_rsbl,buildings,mean_yearbuilt,mean_unitstotal,median_unitstotal,registered_share
1,32793,1929.165065715244,35.26557497026805,17.0,0.9987802274875736
0,56307,1926.7316497060756,12.681478324187045,4.0,1.0
