term,coef,std_err,t,p_value,infer_method,p_value_resampled,ci_low_resampled,ci_high_resampled,resample_count,event_time,ci_low,ci_high
evt_m4,-4.927915640175343,1.5467524897434692,-3.1859755667777483,0.0014426678052600831,permutation,0.09836065573770492,-5.323542475700378,4.051094423606991,60,-4,-7.959550520072542,-1.896280760278143
evt_m3,-0.5942718556616455,1.7603416398023204,-0.33758893286667924,0.7356729833487186,permutation,0.19672131147540983,-0.7486333609325811,0.7770564052683766,60,-3,-4.0445414696741935,2.8559977583509024
evt_m2,-0.33315391233190894,1.6947183444899272,-0.19658364672519132,0.8441533689145087,permutation,0.36065573770491804,-0.5759232075644831,0.5909026652865577,60,-2,-3.654801867532166,2.988494042868348
evt_p0,-1.5653991401195526,1.2757670339821605,-1.227025858501249,0.21981287206458555,permutation,0.39344262295081966,-2.6802616911008954,2.56618607356213,60,0,-4.065902526724587,0.9351042464854817
evt_p1,1.8256708458065987,1.3511730638140758,1.3511746901267525,0.17663948015305364,permutation,0.19672131147540983,-2.55091115682153,2.7696263352409005,60,1,-0.8226283592689896,4.473970050882187
evt_p2,0.4247361049056053,1.635960707591571,0.2596248815357512,0.7951531416068853,permutation,0.5245901639344263,-1.4145142899156782,1.676695372800168,60,2,-2.7817468819738735,3.631219091785084
evt_p3,0.8694542024750262,1.3888901928702675,0.6260064380454875,0.5313107185477229,permutation,0.29508196721311475,-1.4228895220978302,1.2760551170536925,60,3,-1.8527705755506978,3.5916789805007503
evt_p4,0.1436242926865816,1.3778843640812592,0.10423537448467013,0.9169825620819583,permutation,0.9180327868852459,-1.9752746918820776,1.6987497990019618,60,4,-2.5570290609126864,2.8442776462858497
