term,coef,std_err,t,p_value,infer_method,p_value_resampled,ci_low_resampled,ci_high_resampled,resample_count,event_time,ci_low,ci_high
evt_m4,-92.13345270595778,22.6152494511371,-4.0739525294657,4.622190690987294e-05,permutation,0.09836065573770492,-95.37501653853423,41.457961154796756,60,-4,-136.4593416301865,-47.807563781729066
evt_m3,-29.364880657272707,34.344080636436004,-0.8550201406794739,0.39253999786434013,permutation,0.03278688524590164,-24.189976027856755,14.619413240604295,60,-3,-96.67927870468728,37.949517390141864
evt_m2,-17.579542549034333,34.69144690938118,-0.50673996374249,0.6123372858978069,permutation,0.03278688524590164,-16.085168477159918,8.217452499588559,60,-2,-85.57477849142144,50.41569339335278
evt_p0,9.373683068572063,25.697965742532332,0.3647636222449241,0.7152878620530552,permutation,0.22950819672131148,-9.46777567855334,15.801562992996644,60,0,-40.994329786791305,59.74169592393543
evt_p1,22.262534165293104,22.39060213395059,0.9942802802760137,0.3200864333901483,permutation,0.11475409836065574,-15.515212004900206,33.11942430049111,60,1,-21.623046017250054,66.14811434783627
evt_p2,63.22127741802526,30.3383711275665,2.0838718450701594,0.03717182598118082,permutation,0.04918032786885246,-31.29135897561943,62.981590763170246,60,2,3.758070007994924,122.68448482805559
evt_p3,95.09226438686073,40.30573707058407,2.3592736741256854,0.018310746398285224,permutation,0.04918032786885246,-37.79220613334385,95.00598996879881,60,3,16.093019728515955,174.0915090452055
evt_p4,54.03720838619188,22.957098953413126,2.3538343627759613,0.01858088862374556,permutation,0.19672131147540983,-43.65418132947927,101.10667372658361,60,4,9.041294437502152,99.0331223348816
