term,coef,std_err,t,p_value
Intercept,4.060116037365961,0.8038574483017003,5.050791089817875,4.399840632348156e-07
C(inspection_year)[T.2020],-0.28861420427300133,0.05279513635458347,-5.466681671860952,4.585384416526964e-08
C(inspection_year)[T.2021],0.46690464773475804,0.048484276640041346,9.630021938888927,5.971672781217537e-22
C(inspection_year)[T.2022],0.8040030546823212,0.04916477957067845,16.353232165446816,4.125068152510077e-60
C(inspection_year)[T.2023],0.8225797858169956,0.04386975585886847,18.750498372119555,1.9178535561153931e-78
C(inspection_year)[T.2024],1.1778109293693113,0.0597177935716965,19.722947867376327,1.3700580587689084e-86
C(inspection_year)[T.2025],1.7420214182961362,0.09273857737412304,18.78421545403407,1.0167787978714301e-78
C(stratum)[T.BRONX|cb10|yb:1940_1969|u:3_5],-3.3864345289588145,0.8306913646077617,-4.076645879854344,4.5689994924061874e-05
C(stratum)[T.BRONX|cb10|yb:1940_1969|u:50_plus],32.25975396740946,12.429450693750466,2.5954287733431114,0.009447298166753073
C(stratum)[T.BRONX|cb10|yb:1940_1969|u:6_19],-2.812124228680625,1.0061350412614087,-2.7949769298910576,0.005190341896814906
C(stratum)[T.BRONX|cb10|yb:1970_1999|u:20_49],-2.139835889503159,1.087318032563533,-1.9679944831395282,0.049068672482607274
C(stratum)[T.BRONX|cb10|yb:1970_1999|u:3_5],-3.7301818826302178,0.8066001324421974,-4.62457385338643,3.75369325776564e-06
C(stratum)[T.BRONX|cb10|yb:1970_1999|u:50_plus],-0.09450715290710089,1.1898669654405523,-0.07942665495558934,0.9366932680216062
C(stratum)[T.BRONX|cb10|yb:1970_1999|u:6_19],-3.2313665941329037,0.830151619196946,-3.8925017062049374,9.921580163201448e-05
C(stratum)[T.BRONX|cb10|yb:2000_plus|u:20_49],-2.7147476758526783,1.137251765480492,-2.3871122984853668,0.016981303265312428
C(stratum)[T.BRONX|cb10|yb:2000_plus|u:3_5],-3.5403410631100134,0.822562953543998,-4.304036606385586,1.677139334890473e-05
C(stratum)[T.BRONX|cb10|yb:2000_plus|u:50_plus],-2.4576888845926317,0.9157861070482775,-2.6836931306090124,0.007281390604219446
C(stratum)[T.BRONX|cb10|yb:2000_plus|u:6_19],-3.0801541574354836,0.8582339381269318,-3.588944716119968,0.0003320192333960065
C(stratum)[T.BRONX|cb10|yb:prewar|u:20_49],-0.5416028277811843,1.0669764258085068,-0.5076052428907059,0.6117302130668418
C(stratum)[T.BRONX|cb10|yb:prewar|u:3_5],-3.5192932703906967,0.8066742800500941,-4.362719076864766,1.284558466719945e-05
C(stratum)[T.BRONX|cb10|yb:prewar|u:50_plus],9.191432802468315,4.009630346145235,2.29233919563302,0.02188607773370451
C(stratum)[T.BRONX|cb10|yb:prewar|u:6_19],-2.5553419962088353,0.8461383136766637,-3.020005068799322,0.0025277045522499866
C(stratum)[T.BRONX|cb11|yb:1940_1969|u:20_49],2.693695245907164,3.140189311157978,0.8578130102970879,0.3909957244938289
C(stratum)[T.BRONX|cb11|yb:1940_1969|u:3_5],-3.7575607572279575,0.8085306071764414,-4.647394574647147,3.3615379480738375e-06
C(stratum)[T.BRONX|cb11|yb:1940_1969|u:50_plus],4.003087225795457,1.5276703286511433,2.6203868404840875,0.008783007356808495
C(stratum)[T.BRONX|cb11|yb:1940_1969|u:6_19],-2.5243534773753247,1.0567162336463023,-2.388865995428874,0.016900465476077212
C(stratum)[T.BRONX|cb11|yb:1970_1999|u:20_49],2.718905329940901,3.0626321174103817,0.8877675233941843,0.3746658157934435
C(stratum)[T.BRONX|cb11|yb:1970_1999|u:3_5],-3.3440331745735716,0.8203521773435738,-4.076338512810516,4.575040236492115e-05
C(stratum)[T.BRONX|cb11|yb:1970_1999|u:50_plus],-4.106502556169791,0.8757227052122355,-4.6892726792718715,2.741778286012706e-06
C(stratum)[T.BRONX|cb11|yb:1970_1999|u:6_19],-4.02078827045529,0.8267613967056184,-4.863299479725171,1.1544497264819457e-06
C(stratum)[T.BRONX|cb11|yb:2000_plus|u:20_49],-3.8799083416362636,0.8866649757469752,-4.375844820494478,1.2096305108809009e-05
C(stratum)[T.BRONX|cb11|yb:2000_plus|u:3_5],-3.9297504276512982,0.8199573434145654,-4.792627883892785,1.6461077596439402e-06
C(stratum)[T.BRONX|cb11|yb:2000_plus|u:50_plus],0.38874501968036806,1.5350721334821333,0.25324218399987825,0.8000810705268812
C(stratum)[T.BRONX|cb11|yb:2000_plus|u:6_19],-2.6004619615668334,1.067228061157762,-2.436650661851762,0.01482399267755103
C(stratum)[T.BRONX|cb11|yb:prewar|u:20_49],-1.1418917331468792,0.8679281224381866,-1.315652418242968,0.18829073131657115
C(stratum)[T.BRONX|cb11|yb:prewar|u:3_5],-3.375959597991802,0.8068856322723243,-4.1839381728542335,2.86502061296021e-05
C(stratum)[T.BRONX|cb11|yb:prewar|u:50_plus],6.325739993481653,2.416775277959075,2.617429949392577,0.008859467062537596
C(stratum)[T.BRONX|cb11|yb:prewar|u:6_19],-3.3214818640894035,0.8677772685937606,-3.8275741763458373,0.00012941239086095788
