dimension,category,rsbl_buildings,hpd_observed_buildings,mdr_registered_buildings,pluto_enriched_buildings,stratified_eligible_buildings,refined_cb_matched_buildings,within_block_matched_buildings,hpd_observed_share,mdr_registered_share,pluto_enriched_share,stratified_eligible_share,refined_cb_matched_share,within_block_matched_share
yearbuilt_bin,prewar,26227,26227,26210,26227,26097,23709,15752,1.0,0.9993518130171197,1.0,0.9950432760132688,0.9039920692416212,0.6006024326076181
yearbuilt_bin,missing,14305,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
yearbuilt_bin,2000_plus,3615,3615,3597,3615,3604,3045,1102,1.0,0.9950207468879668,1.0,0.996957123098202,0.8423236514522822,0.30484094052558786
yearbuilt_bin,1940_1969,2628,2628,2617,2628,2615,1647,335,1.0,0.995814307458143,1.0,0.9950532724505328,0.6267123287671232,0.12747336377473364
yearbuilt_bin,1970_1999,481,481,476,481,477,345,100,1.0,0.9896049896049897,1.0,0.9916839916839917,0.7172557172557172,0.2079002079002079
