inspection_year,mean_treated,n_treated_buildings,treated_strata,mean_control,n_control_buildings,control_strata,diff,ratio
2019,1.3300704418625926,32793,699,0.7640968263270996,56307,778,0.565973615535493,1.740709287141061
2020,1.2230354038971731,32793,699,0.4754826220540963,56307,778,0.7475527818430768,2.5721979041287164
2021,2.2405086451376817,32793,699,1.2310014740618396,56307,778,1.009507171075842,1.8200698312284307
2022,2.492056231512823,32793,699,1.568099881009466,56307,778,0.923956350503357,1.5892203434825587
2023,3.1664684536333976,32793,699,1.5866766121441385,56307,778,1.579791841489259,1.9956608860292107
2024,4.65068764675388,32793,699,1.94190775569645,56307,778,2.7087798910574303,2.3949065722156035
2025,7.269935656999969,32793,699,2.5061182446232264,56307,778,4.763817412376743,2.9008749577548136
