state_abbr,avg_pre_coef,max_abs_pre_coef,avg_post_coef,first_post_coef,last_post_coef,treated_pre_policy_mean,outcome,display_name,domain,avg_post_pct_of_pre_policy_mean
CA,0.9567099567099243,1.8999999999999344,-1.0800000000000176,3.763176298034768e-16,-1.9598484848485016,56.04,rent_burden_30_plus_pct,Rent burden 30%+,affordability,-1.9271948608137361
OR,2.514375901875914,3.0454545454545574,0.16000000000000453,0.0454545454545431,-0.0727272727272456,52.833333333333336,rent_burden_30_plus_pct,Rent burden 30%+,affordability,0.30283911671925146
CA,12.3598809523808,16.083409090908653,-43.47572727272757,-8.436590909091132,-70.02931818181861,215.83424999999997,index_sa_mean,FHFA HPI (SA mean),capitalization,-20.143108553312356
OR,-20.28958318302048,45.32311372655052,3.0645454545456277,-1.0490909090907967,-9.885909090909166,312.1222222222222,index_sa_mean,FHFA HPI (SA mean),capitalization,0.9818414827137036
CA,-44.9040404040401,78.18939393939388,78.98636363636376,79.00000000000014,84.40909090909085,1247.9583333333333,qcew_total_covered_avg_weekly_wage,QCEW average weekly wage,labor,6.329246860781712
OR,-9.153829966329724,17.674873737372685,13.545454545454465,2.3409090909090935,1.500000000000682,955.75,qcew_total_covered_avg_weekly_wage,QCEW average weekly wage,labor,1.4172591729484139
CA,-538158.4419191746,999587.3484848224,-287376.0424242391,-1068763.234848491,157309.65625001432,16804996.305555556,qcew_total_covered_emplvl,QCEW covered employment,labor,-1.7100631097980996
OR,94553.34269781639,165975.4113005062,-160071.75833333464,-57344.090909081744,-382684.6325757683,1831677.683333333,qcew_total_covered_emplvl,QCEW covered employment,labor,-8.739078921463522
CA,-93.86147186147195,162.85714285714312,8.399999999999839,4.898310527186566e-14,19.571969696969575,1329.6,DP04_0134E,Median gross rent,rent_level,0.6317689530685799
OR,-43.42177729677682,81.20147907647856,-26.354545454544997,5.272727272727252,-69.86363636363501,944.0,DP04_0134E,Median gross rent,rent_level,-2.791795069337394
CA,0.07489177489177073,0.115584415584412,1.1690909090909058,-1.4901409899094458e-16,1.346969696969691,1.28,moved_different_state_pct,Moved from different state,stability,91.33522727272701
OR,0.12317219817220017,0.2727272727272736,0.061818181818183104,-0.218181818181818,-0.1545454545454528,3.4000000000000004,moved_different_state_pct,Moved from different state,stability,1.8181818181818559
CA,0.5437229437229248,1.2220779220779114,0.45818181818180365,-6.501768760025671e-16,0.7193181818181666,14.180000000000001,moved_last_year_pct,Moved last year,stability,3.231183485062085
OR,-0.03854617604616669,0.5957792207792317,-0.8863636363636334,-1.1727272727272693,-1.4409090909090851,18.033333333333335,moved_last_year_pct,Moved last year,stability,-4.915140312552495
CA,-0.5437229437229666,1.2220779220779434,-0.4581818181818413,6.501768760025645e-16,-0.7193181818182142,85.82000000000001,same_house_1y_pct,Same house one year ago,stability,-0.5338869939196472
OR,0.038546176046204104,0.5957792207791821,0.886363636363653,1.1727272727273004,1.4409090909091198,81.96666666666667,same_house_1y_pct,Same house one year ago,stability,1.0813708455026267
CA,3622.614718614675,9886.45454545457,-4697.854545454693,-2870.7272727273194,-10101.60606060617,40019.8,permits_units_5plus,5+ unit permits,supply,-11.738825644942485
OR,1936.819624819552,3167.108225108225,-5707.945454545482,-781.5454545455323,-6546.818181818222,5967.555555555556,permits_units_5plus,5+ unit permits,supply,-95.6496408187036
CA,0.049547687157138094,0.0625587019637839,-0.0336905041875433,0.0100110923563608,-0.0320968939583722,0.5029609783213906,permits_units_multifamily_share,Multifamily permit share,supply,-6.698433007662707
OR,-0.02207070588174227,0.0529455751878063,-0.050508379723622196,0.007897969492758,-0.0858447983426002,0.40970043906390685,permits_units_multifamily_share,Multifamily permit share,supply,-12.328124382542748
CA,2600.696969696852,12639.000000000007,-10995.545454545838,-10566.090909091085,-15927.609848485145,85114.0,permits_units_total,Permitted units,supply,-12.91860969352379
OR,9616.472643097446,17412.243686868656,-14347.881818181942,-1201.0000000002549,-16020.31818181829,14878.666666666666,permits_units_total,Permitted units,supply,-96.43257786214228
CA,-2.798267685116219,7.67662338912487,0.22545495978282867,8.728487038740822e-08,0.2140153516542083,-444444421.16999996,renter_share_pct,Renter share,tenure_mix,-5.072736860760193e-08
OR,-1.2568241585328626,2.1277239322662354,0.4536367280130083,-0.0727274189361804,0.7954550123612387,-493827143.12222224,renter_share_pct,Renter share,tenure_mix,-9.186144065409e-08
