inspection_year,building_count_treated,any_violation_buildings_treated,any_violation_rate_treated,mean_violation_count_treated,positive_building_count_treated,mean_positive_violation_count_treated,building_count_control,any_violation_buildings_control,any_violation_rate_control,mean_violation_count_control,positive_building_count_control,mean_positive_violation_count_control,any_violation_rate_diff,mean_violation_count_diff,mean_positive_violation_count_diff
2019,32793,8226,0.2508462171804958,1.3300704418625926,8226,5.302334062727936,56307,11899,0.21132363649279842,0.7640968263270996,11899,3.6157660307588873,0.0395225806876974,0.565973615535493,1.6865680319690486
2020,32793,7267,0.2216021711950721,1.2230354038971731,7267,5.519058758772533,56307,3767,0.06690109577850001,0.4754826220540963,3767,7.107247146270241,0.1547010754165721,0.7475527818430768,-1.5881883874977083
2021,32793,10834,0.33037538499069924,2.2405086451376817,10834,6.781705741185158,56307,22162,0.39359227094322197,1.2310014740618396,22162,3.127605811749842,-0.06321688595252273,1.009507171075842,3.6540999294353163
2022,32793,11308,0.34482968926295243,2.492056231512823,11308,7.226918995401486,56307,24357,0.4325749906761149,1.568099881009466,24357,3.6250359239643632,-0.08774530141316245,0.923956350503357,3.601883071437123
2023,32793,13195,0.4023724575366694,3.1664684536333976,13195,7.869496021220159,56307,26611,0.472605537499778,1.5866766121441385,26611,3.357295855097516,-0.07023307996310862,1.579791841489259,4.512200166122643
2024,32793,14895,0.4542127893147928,4.65068764675388,14895,10.239006377979187,56307,29755,0.5284422895909923,1.94190775569645,29755,3.674777348344816,-0.07422950027619946,2.7087798910574303,6.5642290296343715
2025,32793,17849,0.5442929893574848,7.269935656999969,17849,13.356658636338171,56307,37614,0.6680164100378283,2.5061182446232264,37614,3.751581857818897,-0.12372342068034348,4.763817412376743,9.605076778519274
