term,coef,std_err,t,p_value,infer_method,p_value_resampled,ci_low_resampled,ci_high_resampled,resample_count,event_time,ci_low,ci_high
evt_m4,-379.93164073464504,2398.1648315732805,-0.1584259912966018,0.8741211343060042,permutation,0.9836065573770492,-10375.641863701847,6278.002899705761,60,-4,-5080.334710618275,4320.4714291489845
evt_m3,5338.294701214626,4386.777741607218,1.2169056687286814,0.22364010857197947,permutation,0.16393442622950818,-9738.589196866884,4617.552546841171,60,-3,-3259.7896723355198,13936.379074764773
evt_m2,3499.45196684403,2121.7993711630625,1.6492850428765131,0.09908925241364508,permutation,0.2459016393442623,-5728.690951302047,4631.969907002327,60,-2,-659.2748006355723,7658.178734323632
evt_p0,-1728.0044698854003,1009.1208726450103,-1.7123860151223724,0.08682555456475623,permutation,0.5081967213114754,-4069.4932296586558,6357.582298720294,60,0,-3705.8813802696204,249.87244049881974
evt_p1,-2490.659780291773,1787.2678457480013,-1.3935570911865147,0.16345139355346994,permutation,0.39344262295081966,-5994.296891535609,6737.954121347033,60,1,-5993.704757957856,1012.3851973743094
evt_p2,-5799.382760158987,2974.924020592174,-1.9494221432265655,0.05124503226770093,permutation,0.39344262295081966,-8608.352885958584,11286.163113050077,60,2,-11630.23384051965,31.468320201674032
evt_p3,-7102.078966565174,4514.867560979897,-1.5730425910929167,0.11570895654015245,permutation,0.3442622950819672,-8512.865555842021,15261.224850763096,60,3,-15951.219386085771,1747.061452955424
evt_p4,-8102.064940447377,1886.848835891948,-4.293966101750478,1.7550928335476165e-05,permutation,0.18032786885245902,-9429.991761704725,11034.174678094543,60,4,-11800.288658795595,-4403.8412220991595
