term,coef,std_err,p_value,base_term,state_abbr,event_time,ci_low,ci_high
evt_m4_CA,0.11558441558441201,0.185651355169432,0.5335549105945004,evt_m4,CA,-4,-0.24829224054767468,0.4794610717164987
evt_m3_CA,0.09090909090908483,0.25163473618140764,0.7178946184501583,evt_m3,CA,-3,-0.4022949920064741,0.5841131738246438
evt_m2_CA,0.018181818181815412,0.24232184691407438,0.9401894963875471,evt_m2,CA,-2,-0.45676900176977037,0.4931326381334012
evt_p0_CA,-1.4901409899094458e-16,1.6717766681469843e-16,0.3727405161592072,evt_p0,CA,0,-4.766823259477535e-16,1.7865412796586432e-16
evt_p1_CA,1.6272727272727243,0.44750131548303385,0.00027652538497391447,evt_p1,CA,1,0.750170148925978,2.5043753056194706
evt_p2_CA,1.4909090909090856,0.4440140375586316,0.0007856623319292536,evt_p2,CA,2,0.6206415772941677,2.3611766045240037
evt_p3_CA,1.3803030303030284,0.4206867562962239,0.0010341378355434654,evt_p3,CA,3,0.5557569879624296,2.2048490726436274
evt_p4_CA,1.346969696969691,0.40334236611307084,0.000839234586367046,evt_p4,CA,4,0.5564186593880721,2.13752073455131
evt_m4_OR,0.09700577200577334,0.1978359512962043,0.6238972901974682,evt_m4,OR,-4,-0.2907526925347871,0.4847642365463337
evt_m3_OR,-0.0002164502164464857,0.23194182595828694,0.9992554069965414,evt_m3,OR,-3,-0.4548224290946889,0.4543895286617959
evt_m2_OR,0.2727272727272736,0.25342423012189563,0.2818517298429981,evt_m2,OR,-2,-0.22398421831164184,0.769438763766189
evt_p0_OR,-0.21818181818181803,0.24232184691407443,0.3679178987791797,evt_p0,OR,0,-0.693132638133404,0.25676900176976786
evt_p1_OR,-4.600956839469161e-17,6.659134180495131e-17,0.4896131882615373,evt_p1,OR,1,-1.7652859833239618e-16,8.450946154301296e-17
evt_p2_OR,0.20909090909091158,0.4485100080475729,0.6410794612151183,evt_p2,OR,2,-0.6699887066823313,1.0881705248641544
evt_p3_OR,0.4727272727272749,0.44503063434881235,0.28812885444069336,evt_p3,OR,3,-0.39953277059639736,1.3449873160509471
evt_p4_OR,-0.15454545454545288,0.33923244794775376,0.6486964040228527,evt_p4,OR,4,-0.8194410525230502,0.5103501434321445
