term,coef,std_err,t,p_value,infer_method,p_value_resampled,ci_low_resampled,ci_high_resampled,resample_count,event_time,ci_low,ci_high
evt_m4,-45.40799242424221,7.636214882628265,-5.946400556058408,2.7410292730747505e-09,permutation,0.3114754098360656,-45.40799242424221,62.67200757575759,60,-4,-60.374973594193605,-30.44101125429081
evt_m3,-11.355681818181523,8.335010289183957,-1.3624076544833283,0.17306926940484713,permutation,0.7868852459016393,-23.62840909090916,26.678863636363708,60,-3,-27.69230198498208,4.980938348619034
evt_m2,-3.680681818181924,7.132589560222057,-0.516037238243572,0.6058284011372101,permutation,0.8688524590163934,-13.670681818181805,13.7929545454545,60,-2,-17.660557356217154,10.299193719853307
evt_p0,-1.0490909090906677,5.79681061696501,-0.18097726118917645,0.8563854242273266,permutation,1.0,-9.345454545454496,21.311818181817916,60,0,-12.410839718342087,10.312657900160753
evt_p1,4.844318181818216,6.964971800873259,0.695525885863722,0.48672579457169596,permutation,1.0,-21.24204545454541,47.643409090908044,60,1,-8.807026547893372,18.495662911529802
evt_p2,15.172045454545497,14.755248194232111,1.0282473906793594,0.30383347124727966,permutation,0.9180327868852459,-59.39431818181821,102.31659090909075,60,2,-13.748241006149442,44.092331915240436
evt_p3,6.2413636363636735,18.262370403571428,0.3417608721342712,0.7325308578981626,permutation,1.0,-88.59136363636365,109.4549999999999,60,3,-29.552882354636324,42.03560962736367
evt_p4,-9.88590909090884,9.898923618668851,-0.9986852582905613,0.31794718412824097,permutation,0.9180327868852459,-68.06681818181815,95.65045454545472,60,4,-29.287799383499788,9.51598120168211
