bldgclass,inspection_year,mean_treated,n_treated,total_treated,mean_control,n_control,total_control,diff,ratio
A8,2019,,,,0.0,1,0,,
A8,2020,,,,0.0,1,0,,
A8,2021,,,,1.0,1,1,,
A8,2022,,,,2.0,1,2,,
A8,2023,,,,1.0,1,1,,
A8,2024,,,,1.0,1,1,,
A8,2025,,,,1.0,1,1,,
B1,2019,,,,0.0,1,0,,
B1,2020,,,,0.0,1,0,,
B1,2021,,,,2.0,1,2,,
B1,2022,,,,0.0,1,0,,
B1,2023,,,,0.0,1,0,,
B1,2024,,,,0.0,1,0,,
B1,2025,,,,0.0,1,0,,
C0,2019,0.48525214081826834,1051.0,510.0,0.5734192649364223,22964,13168,-0.08816712411815392,0.8462431775327091
C0,2020,0.2921027592768792,1051.0,307.0,0.2637171224525344,22964,6056,0.02838563682434475,1.107636684946211
C0,2021,0.6822074215033301,1051.0,717.0,1.0521250653196308,22964,24161,-0.36991764381630066,0.648409057050721
C0,2022,0.8420551855375833,1051.0,885.0,1.4664692562271382,22964,33676,-0.6244140706895549,0.5742058225645879
C0,2023,0.9686013320647003,1051.0,1018.0,1.3376589444347675,22964,30718,-0.3690576123700672,0.7241018617596776
C0,2024,1.2492863939105614,1051.0,1313.0,1.523602159902456,22964,34988,-0.27431576599189467,0.8199557776884112
C0,2025,1.8563273073263558,1051.0,1951.0,1.8199790977181676,22964,41794,0.03634820960818819,1.0199717731119882
C1,2019,1.4391336818521285,9373.0,13489.0,1.2438548575887631,2563,3188,0.1952788242633654,1.1569948640486216
C1,2020,1.3896297876880401,9373.0,13025.0,1.0710105345298477,2563,2745,0.3186192531581924,1.2974940422019845
C1,2021,2.6162381308012375,9373.0,24522.0,1.8938743659773702,2563,4854,0.7223637648238672,1.381421163832627
C1,2022,2.8120132294889575,9373.0,26357.0,2.317206398751463,2563,5939,0.49480683073749443,1.2135359331840712
C1,2023,3.504427611223728,9373.0,32847.0,2.6063207179087007,2563,6680,0.8981068933150271,1.3445880190967687
C1,2024,5.1266403499413205,9373.0,48052.0,3.36870854467421,2563,8634,1.7579318052671105,1.5218414659369475
C1,2025,8.147444788221486,9373.0,76366.0,5.345298478345689,2563,13700,2.8021463098757975,1.524226349796472
C2,2019,0.8602784989379277,4237.0,3645.0,0.9779963758736733,3863,3778,-0.11771787693574554,0.8796336266271082
C2,2020,0.6971914090158131,4237.0,2954.0,0.7610665286047114,3863,2940,-0.06387511958889824,0.9160715690571721
C2,2021,1.0715128628746755,4237.0,4540.0,1.4004659590991457,3863,5410,-0.3289530962244702,0.765111680089625
C2,2022,1.1899929195185273,4237.0,5042.0,1.7160238156872896,3863,6629,-0.5260308961687623,0.6934594430683468
C2,2023,1.4630634883172056,4237.0,6199.0,1.6844421434118562,3863,6507,-0.2213786550946506,0.8685744975210334
C2,2024,1.9265990087325937,4237.0,8163.0,2.2389334713952884,3863,8649,-0.3123344626626947,0.8604985513624708
C2,2025,2.3639367476988435,4237.0,10016.0,2.792130468547761,3863,10786,-0.42819372084891727,0.8466426531022281
C3,2019,0.45217391304347826,345.0,156.0,0.8187092095721538,8274,6774,-0.3665352965286755,0.552300997419802
C3,2020,0.5246376811594203,345.0,181.0,0.508218515832729,8274,4205,0.0164191653266913,1.0323072946285479
C3,2021,0.8347826086956521,345.0,288.0,1.2408750302151317,8274,10267,-0.40609242151947955,0.6727370511685815
C3,2022,1.127536231884058,345.0,389.0,1.5916122794295384,8274,13169,-0.4640760475454804,0.7084239336782364
C3,2023,1.3072463768115943,345.0,451.0,1.573120618805898,8274,13016,-0.26587424199430365,0.8309892840918202
C3,2024,1.9391304347826086,345.0,669.0,1.7599709934735315,8274,14562,0.17915944130907713,1.1017968148187958
C3,2025,2.243478260869565,345.0,774.0,2.042422044960116,8274,16899,0.20105621590944933,1.098440092930634
C4,2019,1.1664619164619165,1628.0,1899.0,1.118353344768439,583,652,0.048108571693477487,1.043017327143094
C4,2020,0.9207616707616708,1628.0,1499.0,0.660377358490566,583,385,0.2603843122711048,1.3942962442962445
C4,2021,1.7444717444717446,1628.0,2840.0,1.6963979416809605,583,989,0.048073802790784104,1.0283387533134754
C4,2022,2.4754299754299756,1628.0,4030.0,1.4013722126929673,583,817,1.0740577627370083,1.7664328955638628
C4,2023,2.7745700245700244,1628.0,4517.0,1.7890222984562607,583,1043,0.9855477261137637,1.5508862169935995
C4,2024,3.256142506142506,1628.0,5301.0,2.1972555746140654,583,1281,1.0588869315284408,1.481913412241281
C4,2025,4.36056511056511,1628.0,7099.0,2.9708404802744424,583,1732,1.3897246302906678,1.46778837151239
C5,2019,0.7300832342449465,841.0,614.0,0.7965879265091863,762,607,-0.06650469226423983,0.9165130551806413
C5,2020,0.4815695600475624,841.0,405.0,0.6220472440944882,762,474,-0.1404776840469258,0.774168786405575
C5,2021,0.9096313912009513,841.0,765.0,1.295275590551181,762,987,-0.38564419935022975,0.7022686120517982
C5,2022,0.7705112960760999,841.0,648.0,1.4396325459317585,762,1097,-0.6691212498556586,0.53521386290792
C5,2023,0.882282996432818,841.0,742.0,1.6115485564304461,762,1228,-0.7292655599976281,0.5474752795454457
C5,2024,1.1022592152199762,841.0,927.0,1.9488188976377954,762,1485,-0.8465596824178192,0.565603718516917
C5,2025,1.2948870392390013,841.0,1089.0,2.4553805774278215,762,1871,-1.1604935381888202,0.5273671426510523
C6,2019,2.4168734491315136,403.0,974.0,1.1075394506136762,1711,1895,1.3093339985178374,2.1822007764981635
C6,2020,1.0148883374689825,403.0,409.0,0.8299240210403273,1711,1420,0.1849643164286553,1.2228689756404432
C6,2021,2.0471464019851116,403.0,825.0,1.2349503214494448,1711,2113,0.8121960805356667,1.6576751035478114
C6,2022,2.2803970223325063,403.0,919.0,1.3290473407364114,1711,2274,0.9513496815960949,1.715813238879032
C6,2023,2.672456575682382,403.0,1077.0,1.7849210987726476,1711,3054,0.8875354769097346,1.497240733789311
C6,2024,3.0248138957816377,403.0,1219.0,2.0029222676797196,1711,3427,1.0218916281019181,1.5102003430645994
C6,2025,3.903225806451613,403.0,1573.0,2.856808883693746,1711,4888,1.0464169227578668,1.3662887387149572
C7,2019,1.548020304568528,4925.0,7624.0,1.4170485792850596,1091,1546,0.13097172528346834,1.092425712991115
C7,2020,1.2992893401015229,4925.0,6399.0,0.8148487626031164,1091,889,0.4844405774984064,1.5945159393146922
C7,2021,2.314314720812183,4925.0,11398.0,2.085242896425298,1091,2275,0.22907182438688478,1.1098537847938863
C7,2022,2.384771573604061,4925.0,11745.0,2.4262144821264893,1091,2647,-0.04144290852242838,0.9829186954295545
C7,2023,2.9563451776649745,4925.0,14560.0,2.9046746104491294,1091,3169,0.051670567215845065,1.0177887626483078
C7,2024,4.258274111675127,4925.0,20972.0,3.945921173235564,1091,4305,0.31235293843956313,1.0791584334117452
C7,2025,6.551269035532995,4925.0,32265.0,6.076993583868011,1091,6630,0.4742754516649841,1.0780444219858971
C8,2019,0.0,1.0,0.0,2.125,8,17,-2.125,0.0
C8,2020,1.0,1.0,1.0,3.0,8,24,-2.0,0.3333333333333333
C8,2021,0.0,1.0,0.0,2.375,8,19,-2.375,0.0
C8,2022,0.0,1.0,0.0,12.375,8,99,-12.375,0.0
C8,2023,0.0,1.0,0.0,2.625,8,21,-2.625,0.0
C8,2024,0.0,1.0,0.0,0.375,8,3,-0.375,0.0
C8,2025,0.0,1.0,0.0,6.25,8,50,-6.25,0.0
C9,2019,1.9047619047619047,210.0,400.0,1.9864864864864864,74,147,-0.08172458172458175,0.9588597343699384
C9,2020,1.5666666666666667,210.0,329.0,1.0405405405405406,74,77,0.5261261261261261,1.5056277056277056
C9,2021,3.8857142857142857,210.0,816.0,2.8513513513513513,74,211,1.0343629343629344,1.362762356127285
C9,2022,4.680952380952381,210.0,983.0,3.891891891891892,74,288,0.7890604890604891,1.202744708994709
C9,2023,6.766666666666667,210.0,1421.0,4.405405405405405,74,326,2.3612612612612613,1.5359918200408997
C9,2024,14.39047619047619,210.0,3022.0,7.364864864864865,74,545,7.025611325611326,1.9539362166885104
C9,2025,16.914285714285715,210.0,3552.0,8.18918918918919,74,606,8.725096525096525,2.0654408297972653
CB,2019,1.9047619047619047,21.0,40.0,4.285714285714286,7,30,-2.380952380952381,0.4444444444444444
CB,2020,0.7142857142857143,21.0,15.0,5.285714285714286,7,37,-4.571428571428571,0.13513513513513514
CB,2021,0.9047619047619048,21.0,19.0,2.142857142857143,7,15,-1.2380952380952381,0.4222222222222222
CB,2022,1.0952380952380953,21.0,23.0,0.5714285714285714,7,4,0.523809523809524,1.916666666666667
CB,2023,3.0476190476190474,21.0,64.0,0.7142857142857143,7,5,2.333333333333333,4.266666666666667
CB,2024,11.619047619047619,21.0,244.0,2.5714285714285716,7,18,9.047619047619047,4.518518518518518
CB,2025,10.714285714285714,21.0,225.0,0.42857142857142855,7,3,10.285714285714285,25.0
CC,2019,,,,0.0,1,0,,
CC,2020,,,,0.0,1,0,,
CC,2021,,,,0.0,1,0,,
CC,2022,,,,0.0,1,0,,
CC,2023,,,,0.0,1,0,,
CC,2024,,,,0.0,1,0,,
CC,2025,,,,1.0,1,1,,
D0,2019,0.25,4.0,1.0,0.038834951456310676,103,4,0.21116504854368934,6.437500000000001
D0,2020,3.25,4.0,13.0,0.038834951456310676,103,4,3.2111650485436893,83.68750000000001
D0,2021,1.25,4.0,5.0,0.21359223300970873,103,22,1.0364077669902914,5.8522727272727275
D0,2022,1.75,4.0,7.0,0.47572815533980584,103,49,1.2742718446601942,3.6785714285714284
D0,2023,0.5,4.0,2.0,0.2524271844660194,103,26,0.24757281553398058,1.9807692307692308
D0,2024,1.0,4.0,4.0,0.2621359223300971,103,27,0.7378640776699029,3.814814814814815
D0,2025,1.0,4.0,4.0,0.39805825242718446,103,41,0.6019417475728155,2.5121951219512195
D1,2019,1.8035662087109032,3421.0,6170.0,1.7333333333333334,525,910,0.07023287537756984,1.0405189665639827
D1,2020,2.075416544869921,3421.0,7100.0,1.140952380952381,525,599,0.93446416391754,1.8190211787257238
D1,2021,3.9000292312189417,3421.0,13342.0,2.8495238095238093,525,1496,1.0505054216951324,1.3686599909023693
D1,2022,4.4399298450745395,3421.0,15189.0,3.2266666666666666,525,1694,1.213263178407873,1.3760113156222746
D1,2023,6.118094124524993,3421.0,20930.0,4.015238095238095,525,2108,2.1028560292868983,1.5237188877493462
D1,2024,9.530838935983631,3421.0,32605.0,8.506666666666666,525,4466,1.0241722693169653,1.120396426643844
D1,2025,16.033615901783104,3421.0,54851.0,13.186666666666667,525,6923,2.846949235116437,1.215896049174654
D2,2019,1.2,20.0,24.0,0.7272727272727273,11,8,0.47272727272727266,1.65
D2,2020,2.4,20.0,48.0,0.2727272727272727,11,3,2.127272727272727,8.8
D2,2021,4.2,20.0,84.0,2.272727272727273,11,25,1.9272727272727272,1.8479999999999999
D2,2022,3.55,20.0,71.0,4.363636363636363,11,48,-0.8136363636363635,0.8135416666666667
D2,2023,3.35,20.0,67.0,1.5454545454545454,11,17,1.8045454545454547,2.1676470588235297
D2,2024,7.8,20.0,156.0,2.6363636363636362,11,29,5.163636363636364,2.9586206896551723
D2,2025,22.25,20.0,445.0,10.272727272727273,11,113,11.977272727272727,2.165929203539823
D3,2019,1.0448275862068965,580.0,606.0,0.7952755905511811,254,202,0.2495519956557154,1.3137931034482757
D3,2020,1.1913793103448276,580.0,691.0,0.8070866141732284,254,205,0.3842926961715992,1.476148023549201
D3,2021,1.7862068965517242,580.0,1036.0,2.12992125984252,254,541,-0.34371436329079574,0.8386257887692012
D3,2022,2.3344827586206898,580.0,1354.0,2.594488188976378,254,659,-0.260005430355688,0.8997854638689761
D3,2023,3.696551724137931,580.0,2144.0,2.9921259842519685,254,760,0.7044257398859624,1.235426497277677
D3,2024,5.187931034482759,580.0,3009.0,4.421259842519685,254,1123,0.7666711919630735,1.1734055946203212
D3,2025,8.860344827586207,580.0,5139.0,10.23228346456693,254,2599,-1.3719386369807225,0.8659205795332422
D4,2019,1.6277056277056277,1155.0,1880.0,2.1345811051693406,1122,2395,-0.506875477463713,0.7625410080524903
D4,2020,1.2051948051948052,1155.0,1392.0,1.4215686274509804,1122,1595,-0.2163738222561753,0.8477922077922078
D4,2021,2.225974025974026,1155.0,2571.0,3.1114081996434937,1122,3491,-0.8854341736694678,0.7154233334697385
D4,2022,2.418181818181818,1155.0,2793.0,3.4206773618538326,1122,3838,-1.0024955436720147,0.7069306930693068
D4,2023,2.7264069264069266,1155.0,3149.0,3.064171122994652,1122,3438,-0.3377641965877256,0.8897697997174439
D4,2024,4.111688311688312,1155.0,4749.0,4.098930481283422,1122,4599,0.012757830404889425,1.0031124778678595
D4,2025,4.45974025974026,1155.0,5151.0,4.507130124777183,1122,5057,-0.04738986503692377,0.9894855786886635
D5,2019,0.8782608695652174,115.0,101.0,0.7924528301886793,106,84,0.08580803937653814,1.1082815734989648
D5,2020,0.8347826086956521,115.0,96.0,0.4339622641509434,106,46,0.4008203445447087,1.9236294896030244
D5,2021,1.8521739130434782,115.0,213.0,0.8679245283018868,106,92,0.9842493847415914,2.1340264650283554
D5,2022,1.5826086956521739,115.0,182.0,1.6037735849056605,106,170,-0.021164889253486585,0.9868030690537084
D5,2023,2.765217391304348,115.0,318.0,3.188679245283019,106,338,-0.423461853978671,0.867198353485979
D5,2024,4.547826086956522,115.0,523.0,5.320754716981132,106,564,-0.7729286300246105,0.8547332716620413
D5,2025,8.147826086956522,115.0,937.0,7.0,106,742,1.1478260869565222,1.1639751552795032
D6,2019,0.7027027027027027,518.0,364.0,1.0297619047619047,168,173,-0.3270592020592019,0.6823933760349946
D6,2020,0.5173745173745173,518.0,268.0,0.6130952380952381,168,103,-0.0957207207207208,0.8438729992128049
D6,2021,1.3204633204633205,518.0,684.0,2.3035714285714284,168,387,-0.9831081081081079,0.5732243871778756
D6,2022,1.5038610038610039,518.0,779.0,1.4404761904761905,168,242,0.06338481338481339,1.0440026803663167
D6,2023,1.920849420849421,518.0,995.0,3.9285714285714284,168,660,-2.0077220077220073,0.488943488943489
D6,2024,2.5193050193050195,518.0,1305.0,4.464285714285714,168,750,-1.944980694980695,0.5643243243243243
D6,2025,5.052123552123552,518.0,2617.0,7.744047619047619,168,1301,-2.6919240669240665,0.6523879759852089
D7,2019,1.8832224685883223,1353.0,2548.0,0.8225806451612904,248,204,1.0606418234270318,2.2894077069112937
D7,2020,1.7634885439763488,1353.0,2386.0,1.2661290322580645,248,314,0.4973595117182843,1.3928189774080717
D7,2021,3.1677753141167777,1353.0,4286.0,3.2620967741935485,248,809,-0.09432146007677078,0.9710856339937711
D7,2022,3.809312638580931,1353.0,5154.0,2.875,248,713,0.934312638580931,1.3249783090716283
D7,2023,5.242424242424242,1353.0,7093.0,4.745967741935484,248,1177,0.4964565004887582,1.1046059576221003
D7,2024,8.048780487804878,1353.0,10890.0,8.459677419354838,248,2098,-0.41089693154996,0.9514287707224071
D7,2025,14.673318551367332,1353.0,19853.0,12.935483870967742,248,3208,1.7378346803995903,1.134346321926153
D8,2019,0.7446808510638298,47.0,35.0,0.8333333333333334,18,15,-0.08865248226950362,0.8936170212765957
D8,2020,0.6170212765957447,47.0,29.0,0.2222222222222222,18,4,0.3947990543735225,2.776595744680851
D8,2021,0.9361702127659575,47.0,44.0,0.1111111111111111,18,2,0.8250591016548463,8.425531914893618
D8,2022,1.3404255319148937,47.0,63.0,0.4444444444444444,18,8,0.8959810874704492,3.015957446808511
D8,2023,1.6808510638297873,47.0,79.0,0.1111111111111111,18,2,1.5697399527186762,15.127659574468087
D8,2024,2.617021276595745,47.0,123.0,0.6111111111111112,18,11,2.0059101654846336,4.282398452611218
D8,2025,4.319148936170213,47.0,203.0,1.3333333333333333,18,24,2.9858156028368796,3.2393617021276597
D9,2019,0.8907563025210085,238.0,212.0,0.3458646616541353,133,46,0.5448916408668731,2.5754475703324813
D9,2020,0.7478991596638656,238.0,178.0,0.49624060150375937,133,66,0.2516585581601062,1.5071301247771838
D9,2021,2.668067226890756,238.0,635.0,1.9548872180451127,133,260,0.7131800088456435,1.364819004524887
D9,2022,2.5252100840336134,238.0,601.0,1.368421052631579,133,182,1.1567890314020344,1.8453458306399482
D9,2023,3.3487394957983194,238.0,797.0,1.744360902255639,133,232,1.6043785935426804,1.9197515212981746
D9,2024,5.794117647058823,238.0,1379.0,2.300751879699248,133,306,3.4933657673595753,2.5183583237216456
D9,2025,11.789915966386555,238.0,2806.0,5.157894736842105,133,686,6.63202122954445,2.285800034299434
DB,2019,0.0,2.0,0.0,0.0,5,0,0.0,
DB,2020,0.0,2.0,0.0,0.0,5,0,0.0,
DB,2021,0.0,2.0,0.0,0.0,5,0,0.0,
DB,2022,0.0,2.0,0.0,0.2,5,1,-0.2,0.0
DB,2023,0.0,2.0,0.0,0.0,5,0,0.0,
DB,2024,0.5,2.0,1.0,1.8,5,9,-1.3,0.2777777777777778
DB,2025,0.5,2.0,1.0,2.8,5,14,-2.3,0.17857142857142858
E1,2019,,,,1.0,2,2,,
E1,2020,,,,0.0,2,0,,
E1,2021,,,,1.5,2,3,,
E1,2022,,,,2.5,2,5,,
E1,2023,,,,4.0,2,8,,
E1,2024,,,,2.0,2,4,,
E1,2025,,,,1.5,2,3,,
E9,2019,,,,0.0,5,0,,
E9,2020,,,,0.0,5,0,,
E9,2021,,,,0.0,5,0,,
E9,2022,,,,0.4,5,2,,
E9,2023,,,,0.6,5,3,,
E9,2024,,,,0.8,5,4,,
E9,2025,,,,1.2,5,6,,
F5,2019,,,,0.0,2,0,,
F5,2020,,,,0.0,2,0,,
F5,2021,,,,0.0,2,0,,
F5,2022,,,,0.0,2,0,,
F5,2023,,,,0.0,2,0,,
F5,2024,,,,1.0,2,2,,
F5,2025,,,,3.5,2,7,,
F9,2019,,,,1.8888888888888888,9,17,,
F9,2020,,,,0.0,9,0,,
F9,2021,,,,0.1111111111111111,9,1,,
F9,2022,,,,0.8888888888888888,9,8,,
F9,2023,,,,0.1111111111111111,9,1,,
F9,2024,,,,0.7777777777777778,9,7,,
F9,2025,,,,5.0,9,45,,
G0,2019,,,,0.0,1,0,,
G0,2020,,,,0.0,1,0,,
G0,2021,,,,0.0,1,0,,
