term,coef,std_err,t,p_value,infer_method,p_value_resampled,ci_low_resampled,ci_high_resampled,resample_count,event_time,ci_low,ci_high
evt_m4,-999587.348484843,182321.09709432276,-5.482565454110405,4.192018229609974e-08,permutation,0.03278688524590164,-584636.2575757611,387139.0151515146,60,-4,-1356936.6987897158,-642237.9981799704
evt_m3,-429261.7348484881,43928.44739566808,-9.771839441127595,1.4872689148869232e-22,permutation,0.03278688524590164,-389789.2803030272,188472.1742424349,60,-3,-515361.49174399755,-343161.9779529787
evt_m2,-185626.24242424965,21107.34694051738,-8.794390074098986,1.438270997640629e-18,permutation,0.16393442622950818,-199169.06060606427,91463.39393939706,60,-2,-226996.64242766373,-144255.84242083557
evt_p0,-1068763.2348484804,42679.96387180734,-25.041334103716576,2.1697856761067096e-138,permutation,0.03278688524590164,-268872.0530303072,294002.03787879297,60,0,-1152415.9640372228,-985110.5056597381
evt_p1,-639146.1666666715,17238.529463706276,-37.07660609986018,6.6942527682070306e-301,permutation,0.03278688524590164,-31903.621212126513,145958.01515153283,60,1,-672933.6844155358,-605358.6489178073
evt_p2,73994.27272728458,74539.92754249994,0.9926796975365418,0.32086607197213823,permutation,0.7704918032786885,-201202.90909090405,495808.36363636516,60,2,-72103.9852560153,220092.53071058445
evt_p3,42349.21212120209,117406.22630677554,0.3607066971946283,0.7183187176765408,permutation,0.819672131147541,-264407.69696969725,849696.6666666586,60,3,-187766.99144007798,272465.4156824822
evt_p4,154685.70454544853,139107.10729021867,1.111989944717406,0.2661424737311078,permutation,0.7704918032786885,-331918.47727272497,1020595.4318181904,60,4,-117964.22574338008,427335.63483427715
